workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
cpu_heavy,50,Contextual Bandit RL,1620.46316,1662.7220399999999,337.62096,0.99856,0.023644,47.6,0.952,0.05706,5282.360000000001,498.0,24.9,2116.0299999999997
cpu_heavy,50,PRM,969.9834000000001,1012.24228,940.7980800000001,0.99856,0.023644,46.8,0.9359999999999999,0.047599999999999996,5282.360000000001,60.0,3.0,2116.0299999999997
cpu_heavy,50,PRR,1028.22568,1070.48456,851.1498799999999,0.99856,0.023644,48.2,0.9640000000000001,0.12401999999999999,5282.360000000001,522.6,26.130000000000003,2116.0299999999997
cpu_heavy,50,Proposed Hybrid,1246.20264,1288.46152,384.63916,0.99856,0.023644,47.8,0.9559999999999998,0.10996000000000002,5282.360000000001,503.8,25.189999999999998,2116.0299999999997
cpu_heavy,100,Contextual Bandit RL,3187.41548,3228.48726,765.35198,0.9992599999999999,0.02434,94.8,0.9480000000000001,0.05138,10267.945,971.6,48.58,4110.264
cpu_heavy,100,PRM,1904.19892,1945.2706999999998,1876.45236,0.9992599999999999,0.02434,95.8,0.958,0.034140000000000004,10267.945,115.6,5.779999999999999,4110.264
cpu_heavy,100,PRR,2019.4811000000002,2060.55288,1695.91768,0.9992599999999999,0.02434,98.4,0.984,0.08848,10267.945,1057.0,52.85,4110.264
cpu_heavy,100,Proposed Hybrid,2299.7186,2340.79038,1082.9148,0.9992599999999999,0.02434,97.0,0.97,0.0503,10267.945,991.0,49.55,4110.264
light,5,Contextual Bandit RL,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
light,5,PRM,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
light,5,PRR,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
light,5,Proposed Hybrid,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
light,10,Contextual Bandit RL,0.0626,5.335,0.0626,0.48038,0.090786,0.0,0.0,0.98634,52.724000000000004,9.0,0.45,110.84400000000001
light,10,PRM,0.0626,5.335,0.0626,0.48038,0.090786,0.0,0.0,0.98634,52.724000000000004,9.0,0.45,110.84400000000001
light,10,PRR,0.0626,5.335,0.0626,0.48038,0.090786,0.0,0.0,0.98634,52.724000000000004,9.0,0.45,110.84400000000001
light,10,Proposed Hybrid,0.0626,5.335,0.0626,0.48038,0.090786,0.0,0.0,0.98634,52.724000000000004,9.0,0.45,110.84400000000001
light,20,Contextual Bandit RL,0.06470000000000001,5.2898,0.06470000000000001,0.48868,0.093468,0.2,0.01,0.9857800000000001,104.502,19.0,0.95,214.58200000000002
light,20,PRM,0.06470000000000001,5.2898,0.06470000000000001,0.48868,0.093468,0.2,0.01,0.9857800000000001,104.502,19.0,0.95,214.58200000000002
light,20,PRR,0.06470000000000001,5.2898,0.06470000000000001,0.48868,0.093468,0.2,0.01,0.9857800000000001,104.502,19.0,0.95,214.58200000000002
light,20,Proposed Hybrid,0.06470000000000001,5.2898,0.06470000000000001,0.48868,0.093468,0.2,0.01,0.9857800000000001,104.502,19.0,0.95,214.58200000000002
light,50,Contextual Bandit RL,0.09772,5.43644,0.09772,0.5182,0.097078,0.2,0.004,0.97834,266.93600000000004,49.0,2.45,515.4440000000001
light,50,PRM,0.09772,5.43644,0.09772,0.5182,0.097078,0.2,0.004,0.97834,266.93600000000004,49.0,2.45,515.4440000000001
light,50,PRR,0.09772,5.43644,0.09772,0.5182,0.097078,0.2,0.004,0.97834,266.93600000000004,49.0,2.45,515.4440000000001
light,50,Proposed Hybrid,0.09772,5.43644,0.09772,0.5182,0.097078,0.2,0.004,0.97834,266.93600000000004,49.0,2.45,515.4440000000001
light,100,Contextual Bandit RL,0.09530000000000001,5.25582,0.09530000000000001,0.50736,0.09836,0.4,0.004,0.97862,516.052,99.0,4.95,1017.5459999999999
light,100,PRM,0.09530000000000001,5.25582,0.09530000000000001,0.50736,0.09836,0.4,0.004,0.97862,516.052,99.0,4.95,1017.5459999999999
light,100,PRR,0.10042,5.26094,0.09278,0.50736,0.09836,0.4,0.004,0.9788,516.052,99.2,4.96,1017.5459999999999
light,100,Proposed Hybrid,0.09530000000000001,5.25582,0.09530000000000001,0.50736,0.09836,0.4,0.004,0.97862,516.052,99.0,4.95,1017.5459999999999
mixed,5,Contextual Bandit RL,13.9108,26.4968,8.200800000000001,0.9119400000000001,0.07632,2.0,0.4,0.6139,113.274,7.4,0.37,69.39
mixed,5,PRM,15.7964,28.3824,13.1668,0.9119400000000001,0.07632,2.2,0.44000000000000006,0.48023999999999994,113.274,4.8,0.24,69.39
mixed,5,PRR,12.4252,25.0112,10.73,0.9119400000000001,0.07632,1.6,0.32,0.50456,113.274,5.6,0.27999999999999997,69.39
mixed,5,Proposed Hybrid,10.453199999999999,23.0392,7.1972000000000005,0.9119400000000001,0.07632,2.2,0.44000000000000006,0.55518,113.274,5.8,0.29,69.39
mixed,10,Contextual Bandit RL,39.811400000000006,55.086,18.636599999999998,0.9536,0.06592200000000001,6.0,0.6,0.35448,274.9428,18.0,0.9,159.206
mixed,10,PRM,38.0264,53.301,33.2642,0.9536,0.06592200000000001,5.6,0.5599999999999999,0.35578,274.9428,10.4,0.52,159.206
