cpu_config,workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
ARM-like,cpu_heavy,20,PRR,463.23578,512.06236,372.334,0.9968199999999999,0.020438,18.4,0.9199999999999999,0.26448,2319.2628,164.2,8.209999999999999,979.6178
ARM-like,cpu_heavy,20,Proposed Hybrid,641.9386,690.76518,154.06236,0.9968199999999999,0.020438,19.2,0.96,0.23972000000000002,2319.2628,192.2,9.61,979.6178
ARM-like,cpu_heavy,50,Contextual Bandit RL,1944.1020800000001,1993.8184,396.6589,0.99878,0.020102000000000002,48.0,0.96,0.0546,5903.8142,503.0,25.15,2488.9024
ARM-like,cpu_heavy,50,PRM,1153.171,1202.88732,1120.45722,0.99878,0.020102000000000002,47.2,0.944,0.04616,5903.8142,59.8,2.9899999999999998,2488.9024
ARM-like,cpu_heavy,50,PRR,1223.77582,1273.4921399999998,1014.4206200000001,0.99878,0.020102000000000002,48.8,0.976,0.14134,5903.8142,526.4,26.32,2488.9024
ARM-like,cpu_heavy,50,Proposed Hybrid,1492.44604,1542.1623599999998,478.409,0.99878,0.020102000000000002,48.2,0.9640000000000001,0.08438,5903.8142,508.8,25.44,2488.9024
ARM-like,cpu_heavy,100,Contextual Bandit RL,3823.1589200000003,3871.4786599999998,920.53042,0.99936,0.020692,95.6,0.9559999999999998,0.04738,11475.9386,986.6,49.33,4835.06
ARM-like,cpu_heavy,100,PRM,2266.26486,2314.58462,2234.26568,0.99936,0.020692,96.6,0.966,0.02894,11475.9386,116.4,5.82,4835.06
ARM-like,cpu_heavy,100,PRR,2403.55526,2451.8750200000004,2023.12186,0.99936,0.020692,99.0,0.99,0.10672,11475.9386,1060.2,53.010000000000005,4835.06
ARM-like,cpu_heavy,100,Proposed Hybrid,2771.07,2819.38974,1238.96164,0.99936,0.020692,97.6,0.976,0.04216,11475.9386,1002.8,50.14,4835.06
ARM-like,light,5,Contextual Bandit RL,0.26256,6.40986,0.26256,0.56794,0.09241200000000001,0.0,0.0,0.9532399999999999,29.199599999999997,4.0,0.2,55.130399999999995
ARM-like,light,5,PRM,0.26256,6.40986,0.26256,0.56794,0.09241200000000001,0.0,0.0,0.9532399999999999,29.199599999999997,4.0,0.2,55.130399999999995
ARM-like,light,5,PRR,0.26256,6.40986,0.26256,0.56794,0.09241200000000001,0.0,0.0,0.9532399999999999,29.199599999999997,4.0,0.2,55.130399999999995
