scheduler,cpu_config,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
Proposed Hybrid,ARM-like,10,39.6631,56.5925,35.0431,0.9818,0.05799,8,0.8,0.5133,289.493,15,0.75,172.434,mixed,2
PRR,ARM-like,10,66.2801,88.886,45.7025,0.9955,0.04404,4,0.4,0.3098,386.561,15,0.75,227.089,mixed,3
PRM,ARM-like,10,55.4731,78.0789,36.046,0.9955,0.04404,5,0.5,0.3081,386.561,10,0.5,227.089,mixed,3
Contextual Bandit RL,ARM-like,10,63.6895,86.2954,40.8531,0.9955,0.04404,6,0.6,0.2873,386.561,18,0.9,227.089,mixed,3
Proposed Hybrid,ARM-like,10,51.0966,73.7025,29.4142,0.9955,0.04404,6,0.6,0.2888,386.561,26,1.3,227.089,mixed,3
PRR,ARM-like,10,27.0772,38.1866,21.1595,0.9075,0.08169,6,0.6,0.3202,189.971,17,0.85,122.414,mixed,4
PRM,ARM-like,10,32.8031,43.9125,23.9889,0.9075,0.08169,6,0.6,0.2571,189.971,11,0.55,122.414,mixed,4
Contextual Bandit RL,ARM-like,10,45.8289,56.9384,11.0854,0.9075,0.08169,9,0.9,0.6268,189.971,21,1.05,122.414,mixed,4
Proposed Hybrid,ARM-like,10,31.1219,42.2313,18.9854,0.9075,0.08169,9,0.9,0.9389,189.971,18,0.9,122.414,mixed,4
PRR,ARM-like,10,54.3817,71.9099,46.8041,0.9478,0.05407,7,0.7,0.3041,299.733,16,0.8,184.942,mixed,5
PRM,ARM-like,10,57.3605,74.8888,55.1441,0.9478,0.05407,7,0.7,0.3478,299.733,11,0.55,184.942,mixed,5
Contextual Bandit RL,ARM-like,10,67.9699,85.4982,37.897,0.9478,0.05407,7,0.7,0.1585,299.733,25,1.25,184.942,mixed,5
Proposed Hybrid,ARM-like,10,45.8088,63.337,33.2699,0.9478,0.05407,7,0.7,0.4358,299.733,22,1.1,184.942,mixed,5
PRR,ARM-like,20,0.6042,7.1578,0.6042,0.6283,0.09587,1,0.05,0.8787,124.517,19,0.95,208.608,light,1
PRM,ARM-like,20,0.6042,7.1578,0.6042,0.6283,0.09587,1,0.05,0.8787,124.517,19,0.95,208.608,light,1
Contextual Bandit RL,ARM-like,20,0.6042,7.1578,0.6042,0.6283,0.09587,1,0.05,0.8787,124.517,19,0.95,208.608,light,1
Proposed Hybrid,ARM-like,20,0.6042,7.1578,0.6042,0.6283,0.09587,1,0.05,0.8787,124.517,19,0.95,208.608,light,1
PRR,ARM-like,20,0.3029,6.3082,0.3029,0.5874,0.09782,1,0.05,0.945,114.101,19,0.95,204.462,light,2
PRM,ARM-like,20,0.3029,6.3082,0.3029,0.5874,0.09782,1,0.05,0.945,114.101,19,0.95,204.462,light,2
Contextual Bandit RL,ARM-like,20,0.3029,6.3082,0.3029,0.5874,0.09782,1,0.05,0.945,114.101,19,0.95,204.462,light,2
Proposed Hybrid,ARM-like,20,0.3029,6.3082,0.3029,0.5874,0.09782,1,0.05,0.945,114.101,19,0.95,204.462,light,2
PRR,ARM-like,20,0.0974,6.2274,0.0974,0.5917,0.09653,1,0.05,0.9763,116.47,19,0.95,207.19,light,3
PRM,ARM-like,20,0.0974,6.2274,0.0974,0.5917,0.09653,1,0.05,0.9763,116.47,19,0.95,207.19,light,3
Contextual Bandit RL,ARM-like,20,0.0974,6.2274,0.0974,0.5917,0.09653,1,0.05,0.9763,116.47,19,0.95,207.19,light,3
Proposed Hybrid,ARM-like,20,0.0974,6.2274,0.0974,0.5917,0.09653,1,0.05,0.9763,116.47,19,0.95,207.19,light,3
PRR,ARM-like,20,0.0154,5.8583,0.0154,0.5054,0.0865,0,0.0,0.9973,111.016,19,0.95,231.216,light,4
PRM,ARM-like,20,0.0154,5.8583,0.0154,0.5054,0.0865,0,0.0,0.9973,111.016,19,0.95,231.216,light,4
Contextual Bandit RL,ARM-like,20,0.0154,5.8583,0.0154,0.5054,0.0865,0,0.0,0.9973,111.016,19,0.95,231.216,light,4
Proposed Hybrid,ARM-like,20,0.0154,5.8583,0.0154,0.5054,0.0865,0,0.0,0.9973,111.016,19,0.95,231.216,light,4
PRR,ARM-like,20,0.0035,6.2076,0.0035,0.546,0.08801,0,0.0,0.9998,117.878,19,0.95,227.238,light,5
PRM,ARM-like,20,0.0035,6.2076,0.0035,0.546,0.08801,0,0.0,0.9998,117.878,19,0.95,227.238,light,5
Contextual Bandit RL,ARM-like,20,0.0035,6.2076,0.0035,0.546,0.08801,0,0.0,0.9998,117.878,19,0.95,227.238,light,5
Proposed Hybrid,ARM-like,20,0.0035,6.2076,0.0035,0.546,0.08801,0,0.0,0.9998,117.878,19,0.95,227.238,light,5
PRR,ARM-like,20,130.8392,147.2239,88.0339,0.9848,0.0601,16,0.8,0.2283,466.964,52,2.6,332.764,normal,1
PRM,ARM-like,20,118.9227,135.3074,78.5609,0.9848,0.0601,15,0.75,0.2815,466.964,25,1.25,332.764,normal,1
Contextual Bandit RL,ARM-like,20,183.3033,199.688,39.868,0.9848,0.0601,19,0.95,0.2094,466.964,68,3.4,332.764,normal,1
Proposed Hybrid,ARM-like,20,148.4362,164.8209,89.838,0.9848,0.0601,20,1.0,0.4626,466.964,68,3.4,332.764,normal,1
PRR,ARM-like,20,90.4009,105.4162,60.8286,0.9883,0.06582,12,0.6,0.2637,427.936,47,2.35,303.876,normal,2
PRM,ARM-like,20,86.9821,101.9974,75.0368,0.9883,0.06582,14,0.7,0.2602,427.936,25,1.25,303.876,normal,2
Contextual Bandit RL,ARM-like,20,113.5574,128.5727,42.5821,0.9883,0.06582,16,0.8,0.1809,427.936,54,2.7,303.876,normal,2
Proposed Hybrid,ARM-like,20,92.8421,107.8574,65.6233,0.9883,0.06582,14,0.7,0.4046,427.936,49,2.45,303.876,normal,2
PRR,ARM-like,20,110.4954,125.8207,83.7231,0.9919,0.06472,18,0.9,0.2983,436.771,58,2.9,309.016,normal,3
PRM,ARM-like,20,104.8331,120.1584,96.3601,0.9919,0.06472,16,0.8,0.1584,436.771,21,1.05,309.016,normal,3
Contextual Bandit RL,ARM-like,20,168.9119,184.2372,26.4013,0.9919,0.06472,18,0.9,0.1377,436.771,63,3.15,309.016,normal,3
Proposed Hybrid,ARM-like,20,122.6848,138.0101,71.6872,0.9919,0.06472,18,0.9,0.3155,436.771,62,3.1,309.016,normal,3
PRR,ARM-like,20,88.7866,103.3966,75.9795,0.9745,0.0667,15,0.75,0.4197,416.385,50,2.5,299.86,normal,4
PRM,ARM-like,20,99.4531,114.0631,89.2301,0.9745,0.0667,14,0.7,0.2059,416.385,23,1.15,299.86,normal,4
Contextual Bandit RL,ARM-like,20,122.0378,136.6478,60.1025,0.9745,0.0667,17,0.85,0.2495,416.385,55,2.75,299.86,normal,4
Proposed Hybrid,ARM-like,20,123.6148,138.2248,66.3631,0.9745,0.0667,18,0.9,0.0823,416.385,56,2.8,299.86,normal,4
PRR,ARM-like,20,102.0794,117.5906,82.1694,0.9785,0.06308,15,0.75,0.2716,442.069,47,2.35,317.054,normal,5
PRM,ARM-like,20,95.0635,110.5747,82.0335,0.9785,0.06308,14,0.7,0.2323,442.069,25,1.25,317.054,normal,5
Contextual Bandit RL,ARM-like,20,142.8206,158.3318,38.5418,0.9785,0.06308,18,0.9,0.1334,442.069,61,3.05,317.054,normal,5
Proposed Hybrid,ARM-like,20,123.2882,138.7994,58.6159,0.9785,0.06308,17,0.85,0.1788,442.069,61,3.05,317.054,normal,5
PRR,ARM-like,20,513.6313,565.1689,394.2371,0.997,0.01935,19,0.95,0.5054,2448.038,171,8.55,1033.803,cpu_heavy,1
PRM,ARM-like,20,455.503,507.0407,371.9589,0.997,0.01935,18,0.9,0.0845,2448.038,23,1.15,1033.803,cpu_heavy,1
Contextual Bandit RL,ARM-like,20,768.5754,820.113,101.8742,0.997,0.01935,19,0.95,0.1043,2448.038,209,10.45,1033.803,cpu_heavy,1
Proposed Hybrid,ARM-like,20,699.8542,751.3919,209.7071,0.997,0.01935,20,1.0,0.4786,2448.038,196,9.8,1033.803,cpu_heavy,1
PRR,ARM-like,20,442.6168,490.4992,363.9945,0.9979,0.02084,19,0.95,0.0627,2274.412,165,8.25,959.697,cpu_heavy,2
PRM,ARM-like,20,404.7674,452.6498,399.7904,0.9979,0.02084,18,0.9,0.1082,2274.412,21,1.05,959.697,cpu_heavy,2
Contextual Bandit RL,ARM-like,20,671.3374,719.2198,160.8362,0.9979,0.02084,19,0.95,0.054,2274.412,187,9.35,959.697,cpu_heavy,2
Proposed Hybrid,ARM-like,20,627.2651,675.1474,142.5492,0.9979,0.02084,19,0.95,0.1384,2274.412,194,9.7,959.697,cpu_heavy,2
PRR,ARM-like,20,468.8417,517.5488,373.1123,0.9986,0.0205,18,0.9,0.1164,2313.585,162,8.1,975.481,cpu_heavy,3
PRM,ARM-like,20,449.9699,498.677,429.7458,0.9986,0.0205,18,0.9,0.0775,2313.585,20,1.0,975.481,cpu_heavy,3
Contextual Bandit RL,ARM-like,20,678.6141,727.3211,151.077,0.9986,0.0205,19,0.95,0.1108,2313.585,182,9.1,975.481,cpu_heavy,3
Proposed Hybrid,ARM-like,20,635.3076,684.0146,153.2323,0.9986,0.0205,19,0.95,0.1885,2313.585,193,9.65,975.481,cpu_heavy,3
PRR,ARM-like,20,425.3797,472.1797,368.3638,0.9949,0.02126,19,0.95,0.478,2223.0,161,8.05,940.77,cpu_heavy,4
PRM,ARM-like,20,436.2944,483.0944,433.6662,0.9949,0.02126,18,0.9,0.0934,2223.0,20,1.0,940.77,cpu_heavy,4
Contextual Bandit RL,ARM-like,20,705.0685,751.8685,189.4915,0.9949,0.02126,20,1.0,0.0856,2223.0,185,9.25,940.77,cpu_heavy,4
Proposed Hybrid,ARM-like,20,622.9997,669.7997,124.3991,0.9949,0.02126,19,0.95,0.1792,2223.0,182,9.1,940.77,cpu_heavy,4
PRR,ARM-like,20,465.7094,514.9152,361.9623,0.9957,0.02024,17,0.85,0.1599,2337.279,162,8.1,988.338,cpu_heavy,5
PRM,ARM-like,20,434.1417,483.3476,410.9176,0.9957,0.02024,18,0.9,0.0705,2337.279,22,1.1,988.338,cpu_heavy,5
Contextual Bandit RL,ARM-like,20,785.5705,834.7764,75.6694,0.9957,0.02024,20,1.0,0.1894,2337.279,201,10.05,988.338,cpu_heavy,5
Proposed Hybrid,ARM-like,20,624.2664,673.4723,140.4241,0.9957,0.02024,19,0.95,0.2139,2337.279,196,9.8,988.338,cpu_heavy,5
PRR,ARM-like,20,337.0207,372.9831,267.5948,0.9929,0.02761,18,0.9,0.4759,1366.569,102,5.1,724.367,bursty,1
PRM,ARM-like,20,289.2713,325.2336,234.3301,0.9929,0.02761,17,0.85,0.1103,1366.569,23,1.15,724.367,bursty,1
Contextual Bandit RL,ARM-like,20,456.9707,492.9331,100.4801,0.9929,0.02761,18,0.9,0.1174,1366.569,132,6.6,724.367,bursty,1
Proposed Hybrid,ARM-like,20,370.486,406.4484,194.6331,0.9929,0.02761,19,0.95,0.2498,1366.569,115,5.75,724.367,bursty,1
PRR,ARM-like,20,236.7564,268.3323,163.7517,0.9959,0.03154,17,0.85,0.1283,1199.884,102,5.1,634.138,bursty,2
PRM,ARM-like,20,220.2881,251.864,208.7493,0.9959,0.03154,15,0.75,0.1988,1199.884,24,1.2,634.138,bursty,2
Contextual Bandit RL,ARM-like,20,343.9829,375.5587,132.7246,0.9959,0.03154,20,1.0,0.1991,1199.884,116,5.8,634.138,bursty,2
Proposed Hybrid,ARM-like,20,282.6346,314.2105,89.8993,0.9959,0.03154,17,0.85,0.132,1199.884,119,5.95,634.138,bursty,2
PRR,ARM-like,20,282.0537,314.6213,225.7025,0.9987,0.03066,18,0.9,0.1544,1237.571,95,4.75,652.213,bursty,3
PRM,ARM-like,20,279.0949,311.6625,260.219,0.9987,0.03066,17,0.85,0.1062,1237.571,21,1.05,652.213,bursty,3
Contextual Bandit RL,ARM-like,20,381.9178,414.4854,61.3413,0.9987,0.03066,18,0.9,0.1073,1237.571,121,6.05,652.213,bursty,3
Proposed Hybrid,ARM-like,20,334.0207,366.5884,100.0084,0.9987,0.03066,19,0.95,0.2065,1237.571,130,6.5,652.213,bursty,3
PRR,ARM-like,20,227.1446,257.424,199.7364,0.9847,0.03252,18,0.9,0.3444,1150.618,97,4.85,615.018,bursty,4
PRM,ARM-like,20,261.4999,291.7793,258.6546,0.9847,0.03252,16,0.8,0.1126,1150.618,21,1.05,615.018,bursty,4
Contextual Bandit RL,ARM-like,20,368.104,398.3834,57.2517,0.9847,0.03252,18,0.9,0.1386,1150.618,122,6.1,615.018,bursty,4
Proposed Hybrid,ARM-like,20,297.3176,327.597,131.6129,0.9847,0.03252,19,0.95,0.1453,1150.618,113,5.65,615.018,bursty,4
PRR,ARM-like,20,271.3516,304.5157,212.2657,0.988,0.02979,15,0.75,0.2375,1260.236,100,5.0,671.332,bursty,5
PRM,ARM-like,20,245.494,278.6581,231.8187,0.988,0.02979,15,0.75,0.1892,1260.236,23,1.15,671.332,bursty,5
Contextual Bandit RL,ARM-like,20,391.7251,424.8893,53.9204,0.988,0.02979,18,0.9,0.0992,1260.236,130,6.5,671.332,bursty,5
Proposed Hybrid,ARM-like,20,344.2087,377.3728,120.9422,0.988,0.02979,20,1.0,0.2129,1260.236,134,6.7,671.332,bursty,5
PRR,ARM-like,20,136.5051,159.7704,110.1699,0.987,0.04242,16,0.8,0.1557,795.673,72,3.6,471.446,mixed,1
PRM,ARM-like,20,174.7069,197.9722,166.1328,0.987,0.04242,15,0.75,0.1722,795.673,21,1.05,471.446,mixed,1
Contextual Bandit RL,ARM-like,20,163.6163,186.8816,58.2928,0.987,0.04242,15,0.75,0.1839,795.673,57,2.85,471.446,mixed,1
Proposed Hybrid,ARM-like,20,135.2687,158.534,90.5246,0.987,0.04242,16,0.8,0.1887,795.673,55,2.75,471.446,mixed,1
PRR,ARM-like,20,96.1113,110.0284,87.8654,0.9888,0.07105,17,0.85,0.2053,475.963,40,2.0,281.481,mixed,2
PRM,ARM-like,20,76.5848,90.5019,63.1507,0.9888,0.07105,15,0.75,0.2699,475.963,25,1.25,281.481,mixed,2
Contextual Bandit RL,ARM-like,20,74.5307,88.4478,49.4672,0.9888,0.07105,14,0.7,0.2164,475.963,46,2.3,281.481,mixed,2
Proposed Hybrid,ARM-like,20,89.5631,103.4801,69.7472,0.9888,0.07105,18,0.9,0.2497,475.963,33,1.65,281.481,mixed,2
PRR,ARM-like,20,127.1219,148.1689,92.3213,0.9976,0.0474,15,0.75,0.2135,719.809,53,2.65,421.971,mixed,3
PRM,ARM-like,20,111.593,132.6401,88.4513,0.9976,0.0474,14,0.7,0.2067,719.809,22,1.1,421.971,mixed,3
Contextual Bandit RL,ARM-like,20,143.3189,164.366,68.5971,0.9976,0.0474,15,0.75,0.1915,719.809,65,3.25,421.971,mixed,3
Proposed Hybrid,ARM-like,20,108.5983,129.6454,60.9119,0.9976,0.0474,16,0.8,0.1711,719.809,71,3.55,421.971,mixed,3
PRR,ARM-like,20,56.1938,66.8361,40.6391,0.9495,0.08922,14,0.7,0.2422,363.968,36,1.8,224.167,mixed,4
PRM,ARM-like,20,54.0085,64.6509,41.5997,0.9495,0.08922,13,0.65,0.2967,363.968,25,1.25,224.167,mixed,4
Contextual Bandit RL,ARM-like,20,84.7544,95.3967,21.2503,0.9495,0.08922,16,0.8,0.1978,363.968,42,2.1,224.167,mixed,4
Proposed Hybrid,ARM-like,20,55.3761,66.0185,33.882,0.9495,0.08922,18,0.9,0.6025,363.968,35,1.75,224.167,mixed,4
PRR,ARM-like,20,126.7068,146.7874,116.2821,0.9765,0.04863,15,0.75,0.2296,686.756,44,2.2,411.272,mixed,5
PRM,ARM-like,20,111.7703,131.8509,110.2538,0.9765,0.04863,14,0.7,0.294,686.756,22,1.1,411.272,mixed,5
Contextual Bandit RL,ARM-like,20,170.4962,190.5768,57.0968,0.9765,0.04863,18,0.9,0.114,686.756,66,3.3,411.272,mixed,5
Proposed Hybrid,ARM-like,20,118.5532,138.6338,59.2303,0.9765,0.04863,16,0.8,0.1979,686.756,67,3.35,411.272,mixed,5
PRR,ARM-like,50,0.4763,6.7593,0.4763,0.618,0.09835,2,0.04,0.902,298.445,49,2.45,508.377,light,1
PRM,ARM-like,50,0.4763,6.7593,0.4763,0.618,0.09835,2,0.04,0.902,298.445,49,2.45,508.377,light,1
Contextual Bandit RL,ARM-like,50,0.4763,6.7593,0.4763,0.618,0.09835,2,0.04,0.902,298.445,49,2.45,508.377,light,1
Proposed Hybrid,ARM-like,50,0.4763,6.7593,0.4763,0.618,0.09835,2,0.04,0.902,298.445,49,2.45,508.377,light,1
PRR,ARM-like,50,0.3754,7.0178,0.3754,0.6435,0.09688,1,0.02,0.928,315.512,49,2.45,516.079,light,2
PRM,ARM-like,50,0.3754,7.0178,0.3754,0.6435,0.09688,1,0.02,0.928,315.512,49,2.45,516.079,light,2
Contextual Bandit RL,ARM-like,50,0.3754,7.0178,0.3754,0.6435,0.09688,1,0.02,0.928,315.512,49,2.45,516.079,light,2
Proposed Hybrid,ARM-like,50,0.3754,7.0178,0.3754,0.6435,0.09688,1,0.02,0.928,315.512,49,2.45,516.079,light,2
PRR,ARM-like,50,0.211,6.3496,0.1054,0.6024,0.09813,2,0.04,0.9683,291.583,50,2.5,509.548,light,3
PRM,ARM-like,50,0.1668,6.3054,0.1668,0.6024,0.09813,3,0.06,0.9671,291.583,49,2.45,509.548,light,3
Contextual Bandit RL,ARM-like,50,0.1668,6.3054,0.1668,0.6024,0.09813,3,0.06,0.9671,291.583,49,2.45,509.548,light,3
Proposed Hybrid,ARM-like,50,0.1668,6.3054,0.1668,0.6024,0.09813,3,0.06,0.9671,291.583,49,2.45,509.548,light,3
PRR,ARM-like,50,0.1683,6.4121,0.1683,0.5722,0.09164,0,0.0,0.9673,296.579,49,2.45,545.638,light,4
PRM,ARM-like,50,0.1683,6.4121,0.1683,0.5722,0.09164,0,0.0,0.9673,296.579,49,2.45,545.638,light,4
Contextual Bandit RL,ARM-like,50,0.1683,6.4121,0.1683,0.5722,0.09164,0,0.0,0.9673,296.579,49,2.45,545.638,light,4
Proposed Hybrid,ARM-like,50,0.1683,6.4121,0.1683,0.5722,0.09164,0,0.0,0.9673,296.579,49,2.45,545.638,light,4
PRR,ARM-like,50,0.2975,6.394,0.2975,0.6035,0.099,2,0.04,0.9508,289.582,49,2.45,505.068,light,5
PRM,ARM-like,50,0.3966,6.493,0.2283,0.6035,0.099,3,0.06,0.9513,289.582,50,2.5,505.068,light,5
Contextual Bandit RL,ARM-like,50,0.3916,6.4881,0.2234,0.6035,0.099,3,0.06,0.9478,289.582,51,2.55,505.068,light,5
Proposed Hybrid,ARM-like,50,0.3916,6.4881,0.2283,0.6035,0.099,3,0.06,0.9446,289.582,51,2.55,505.068,light,5
PRR,ARM-like,50,292.8932,308.6004,226.8019,0.9936,0.06326,46,0.92,0.149,1119.145,172,8.6,790.435,normal,1
PRM,ARM-like,50,263.5306,279.2379,228.0226,0.9936,0.06326,40,0.8,0.2104,1119.145,59,2.95,790.435,normal,1
Contextual Bandit RL,ARM-like,50,401.3887,417.096,117.4494,0.9936,0.06326,46,0.92,0.0996,1119.145,157,7.85,790.435,normal,1
Proposed Hybrid,ARM-like,50,332.7204,348.4277,202.5059,0.9936,0.06326,46,0.92,0.2071,1119.145,149,7.45,790.435,normal,1
PRR,ARM-like,50,294.4855,311.0928,226.5175,0.9957,0.05996,38,0.76,0.178,1183.27,163,8.15,833.935,normal,2
PRM,ARM-like,50,289.8658,306.4731,270.4154,0.9957,0.05996,41,0.82,0.157,1183.27,58,2.9,833.935,normal,2
Contextual Bandit RL,ARM-like,50,367.0352,383.6425,158.3787,0.9957,0.05996,39,0.78,0.1652,1183.27,144,7.2,833.935,normal,2
Proposed Hybrid,ARM-like,50,330.3458,346.9531,179.4806,0.9957,0.05996,41,0.82,0.191,1183.27,153,7.65,833.935,normal,2
PRR,ARM-like,50,283.8961,299.2436,232.7928,0.9967,0.06494,43,0.86,0.1348,1093.511,163,8.15,769.886,normal,3
PRM,ARM-like,50,265.3545,280.702,253.6222,0.9967,0.06494,42,0.84,0.153,1093.511,61,3.05,769.886,normal,3
Contextual Bandit RL,ARM-like,50,399.2928,414.6403,105.5495,0.9967,0.06494,43,0.86,0.1554,1093.511,162,8.1,769.886,normal,3
Proposed Hybrid,ARM-like,50,318.7486,334.0961,181.8909,0.9967,0.06494,45,0.9,0.1973,1093.511,161,8.05,769.886,normal,3
PRR,ARM-like,50,252.3885,267.9976,208.0586,0.9903,0.06344,40,0.8,0.2497,1112.154,148,7.4,788.119,normal,4
PRM,ARM-like,50,255.8934,271.5026,244.2944,0.9903,0.06344,39,0.78,0.1651,1112.154,55,2.75,788.119,normal,4
Contextual Bandit RL,ARM-like,50,366.1581,381.7673,137.6805,0.9903,0.06344,40,0.8,0.1629,1112.154,157,7.85,788.119,normal,4
Proposed Hybrid,ARM-like,50,297.3972,313.0064,177.4151,0.9903,0.06344,43,0.86,0.0718,1112.154,158,7.9,788.119,normal,4
PRR,ARM-like,50,274.0569,289.2988,226.9092,0.9911,0.06503,42,0.84,0.1767,1085.984,151,7.55,768.924,normal,5
PRM,ARM-like,50,256.5228,271.7647,235.8153,0.9911,0.06503,40,0.8,0.173,1085.984,61,3.05,768.924,normal,5
Contextual Bandit RL,ARM-like,50,415.8767,431.1186,97.8129,0.9911,0.06503,46,0.92,0.1021,1085.984,161,8.05,768.924,normal,5
Proposed Hybrid,ARM-like,50,321.8866,337.1285,163.5162,0.9911,0.06503,45,0.9,0.129,1085.984,162,8.1,768.924,normal,5
PRR,ARM-like,50,1245.3956,1295.1243,1013.7267,0.9988,0.02008,50,1.0,0.4212,5905.284,533,26.65,2489.485,cpu_heavy,1
PRM,ARM-like,50,1128.3991,1178.1278,1054.1257,0.9988,0.02008,47,0.94,0.0452,5905.284,54,2.7,2489.485,cpu_heavy,1
Contextual Bandit RL,ARM-like,50,1943.3013,1993.03,356.7278,0.9988,0.02008,48,0.96,0.0584,5905.284,507,25.35,2489.485,cpu_heavy,1
Proposed Hybrid,ARM-like,50,1439.6669,1489.3956,602.2763,0.9988,0.02008,48,0.96,0.0403,5905.284,492,24.6,2489.485,cpu_heavy,1
PRR,ARM-like,50,1278.1698,1330.2992,1059.1839,0.9992,0.01917,49,0.98,0.0267,6190.368,550,27.5,2608.521,cpu_heavy,2
PRM,ARM-like,50,1229.4935,1281.6229,1217.9902,0.9992,0.01917,47,0.94,0.0439,6190.368,52,2.6,2608.521,cpu_heavy,2
Contextual Bandit RL,ARM-like,50,2099.0853,2151.2147,448.8269,0.9992,0.01917,49,0.98,0.0325,6190.368,515,25.75,2608.521,cpu_heavy,2
Proposed Hybrid,ARM-like,50,1499.3394,1551.4688,535.9891,0.9992,0.01917,48,0.96,0.0872,6190.368,530,26.5,2608.521,cpu_heavy,2
PRR,ARM-like,50,1230.7547,1279.5222,1006.8286,0.9995,0.02049,49,0.98,0.0314,5791.144,510,25.5,2439.716,cpu_heavy,3
PRM,ARM-like,50,1149.9357,1198.7032,1105.9126,0.9995,0.02049,47,0.94,0.0494,5791.144,75,3.75,2439.716,cpu_heavy,3
Contextual Bandit RL,ARM-like,50,1850.278,1899.0455,409.7797,0.9995,0.02049,47,0.94,0.0721,5791.144,491,24.55,2439.716,cpu_heavy,3
Proposed Hybrid,ARM-like,50,1567.1677,1615.9352,326.5055,0.9995,0.02049,48,0.96,0.0771,5791.144,502,25.1,2439.716,cpu_heavy,3
PRR,ARM-like,50,1174.2558,1223.7238,1000.0311,0.9981,0.02018,48,0.96,0.1534,5874.325,520,26.0,2478.17,cpu_heavy,4
PRM,ARM-like,50,1139.3838,1188.8518,1133.8749,0.9981,0.02018,46,0.92,0.0583,5874.325,51,2.55,2478.17,cpu_heavy,4
Contextual Bandit RL,ARM-like,50,1923.2398,1972.7078,414.4932,0.9981,0.02018,48,0.96,0.0401,5874.325,503,25.15,2478.17,cpu_heavy,4
Proposed Hybrid,ARM-like,50,1419.1987,1468.6667,495.6615,0.9981,0.02018,48,0.96,0.1098,5874.325,505,25.25,2478.17,cpu_heavy,4
PRR,ARM-like,50,1190.3032,1238.7912,992.3328,0.9983,0.02059,48,0.96,0.074,5757.95,519,25.95,2428.62,cpu_heavy,5
PRM,ARM-like,50,1118.6429,1167.1309,1090.3827,0.9983,0.02059,49,0.98,0.034,5757.95,67,3.35,2428.62,cpu_heavy,5
Contextual Bandit RL,ARM-like,50,1904.606,1953.094,353.4669,0.9983,0.02059,48,0.96,0.0699,5757.95,499,24.95,2428.62,cpu_heavy,5
Proposed Hybrid,ARM-like,50,1536.8575,1585.3455,431.6126,0.9983,0.02059,49,0.98,0.1075,5757.95,515,25.75,2428.62,cpu_heavy,5
PRR,ARM-like,50,764.0191,797.8113,629.448,0.997,0.0295,47,0.94,0.2159,3210.262,346,17.3,1694.732,bursty,1
PRM,ARM-like,50,680.9019,714.6941,632.6548,0.997,0.0295,43,0.86,0.1015,3210.262,55,2.75,1694.732,bursty,1
Contextual Bandit RL,ARM-like,50,1046.4657,1080.2579,309.4294,0.997,0.0295,45,0.9,0.1069,3210.262,319,15.95,1694.732,bursty,1
Proposed Hybrid,ARM-like,50,832.8958,866.688,420.1045,0.997,0.0295,48,0.96,0.091,3210.262,316,15.8,1694.732,bursty,1
PRR,ARM-like,50,780.8207,817.4927,622.5278,0.9986,0.02723,47,0.94,0.0557,3483.84,378,18.9,1836.22,bursty,2
PRM,ARM-like,50,792.9736,829.6456,764.9407,0.9986,0.02723,44,0.88,0.0998,3483.84,56,2.8,1836.22,bursty,2
Contextual Bandit RL,ARM-like,50,1078.6195,1115.2915,369.3322,0.9986,0.02723,46,0.92,0.1047,3483.84,350,17.5,1836.22,bursty,2
Proposed Hybrid,ARM-like,50,862.9744,899.6464,363.9981,0.9986,0.02723,46,0.92,0.0673,3483.84,366,18.3,1836.22,bursty,2
PRR,ARM-like,50,745.6416,778.2804,618.556,0.9995,0.03062,49,0.98,0.0754,3100.688,339,16.95,1632.801,bursty,3
PRM,ARM-like,50,712.1096,744.7484,673.1032,0.9995,0.03062,45,0.9,0.0984,3100.688,71,3.55,1632.801,bursty,3
Contextual Bandit RL,ARM-like,50,986.7621,1019.4009,232.3832,0.9995,0.03062,45,0.9,0.0701,3100.688,321,16.05,1632.801,bursty,3
Proposed Hybrid,ARM-like,50,855.3157,887.9545,341.3896,0.9995,0.03062,48,0.96,0.1129,3100.688,332,16.6,1632.801,bursty,3
PRR,ARM-like,50,671.4719,704.9523,572.1552,0.9944,0.0297,46,0.92,0.091,3180.645,334,16.7,1683.454,bursty,4
PRM,ARM-like,50,690.0698,723.5502,684.8792,0.9944,0.0297,42,0.84,0.0839,3180.645,53,2.65,1683.454,bursty,4
Contextual Bandit RL,ARM-like,50,975.1335,1008.614,245.9923,0.9944,0.0297,45,0.9,0.0991,3180.645,330,16.5,1683.454,bursty,4
Proposed Hybrid,ARM-like,50,735.609,769.0895,328.3578,0.9944,0.0297,47,0.94,0.1141,3180.645,334,16.7,1683.454,bursty,4
PRR,ARM-like,50,703.8667,736.1704,582.6892,0.995,0.0308,44,0.88,0.1409,3068.858,315,15.75,1623.238,bursty,5
PRM,ARM-like,50,658.4554,690.7591,637.0283,0.995,0.0308,43,0.86,0.1009,3068.858,54,2.7,1623.238,bursty,5
Contextual Bandit RL,ARM-like,50,926.2728,958.5765,273.177,0.995,0.0308,45,0.9,0.0792,3068.858,320,16.0,1623.238,bursty,5
