workload_type,num_vms,cpu_config,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
light,5,ARM-like,PRR,0.2626,6.4099,0.2626,0.5679,0.0924,0.0000,0.9532,29.1996,4.0000,0.2000
light,5,ARM-like,Proposed Hybrid,0.2626,6.4099,0.2626,0.5679,0.0924,0.0000,0.9532,29.1996,4.0000,0.2000
light,10,ARM-like,Contextual Bandit RL,0.2325,6.4354,0.2325,0.5605,0.0900,0.0200,0.9550,58.9268,9.0000,0.4500
light,10,ARM-like,PRM,0.2325,6.4354,0.2325,0.5605,0.0900,0.0200,0.9550,58.9268,9.0000,0.4500
light,10,ARM-like,PRR,0.2325,6.4354,0.2325,0.5605,0.0900,0.0200,0.9550,58.9268,9.0000,0.4500
light,10,ARM-like,Proposed Hybrid,0.2325,6.4354,0.2325,0.5605,0.0900,0.0200,0.9550,58.9268,9.0000,0.4500
light,20,ARM-like,Contextual Bandit RL,0.2047,6.3519,0.2047,0.5718,0.0929,0.0300,0.9594,116.7964,19.0000,0.9500
light,20,ARM-like,PRM,0.2047,6.3519,0.2047,0.5718,0.0929,0.0300,0.9594,116.7964,19.0000,0.9500
light,20,ARM-like,PRR,0.2047,6.3519,0.2047,0.5718,0.0929,0.0300,0.9594,116.7964,19.0000,0.9500
light,20,ARM-like,Proposed Hybrid,0.2047,6.3519,0.2047,0.5718,0.0929,0.0300,0.9594,116.7964,19.0000,0.9500
light,50,ARM-like,Contextual Bandit RL,0.3157,6.5965,0.2820,0.6079,0.0968,0.0360,0.9424,298.3402,49.4000,2.4700
light,50,ARM-like,PRM,0.3167,6.5975,0.2830,0.6079,0.0968,0.0360,0.9431,298.3402,49.2000,2.4600
light,50,ARM-like,PRR,0.3057,6.5866,0.2846,0.6079,0.0968,0.0280,0.9433,298.3402,49.2000,2.4600
light,50,ARM-like,Proposed Hybrid,0.3157,6.5965,0.2830,0.6079,0.0968,0.0360,0.9418,298.3402,49.4000,2.4700
light,100,ARM-like,Contextual Bandit RL,0.3320,6.4032,0.3151,0.5964,0.0983,0.0460,0.9385,576.7638,99.4000,4.9700
light,100,ARM-like,PRM,0.4031,6.4743,0.2911,0.5964,0.0983,0.0460,0.9390,576.7638,99.8000,4.9900
light,100,ARM-like,PRR,0.3480,6.4193,0.2957,0.5964,0.0983,0.0400,0.9395,576.7638,99.8000,4.9900
light,100,ARM-like,Proposed Hybrid,0.3414,6.4126,0.3153,0.5964,0.0983,0.0460,0.9375,576.7638,99.8000,4.9900
mixed,5,ARM-like,Contextual Bandit RL,17.7738,32.5809,10.5258,0.9257,0.0658,0.5200,0.5383,126.6002,7.4000,0.3700
mixed,5,ARM-like,PRM,21.5201,36.3272,16.6514,0.9257,0.0658,0.4800,0.4778,126.6002,5.0000,0.2500
mixed,5,ARM-like,PRR,17.8510,32.6580,15.1488,0.9257,0.0658,0.4800,0.4281,126.6002,5.8000,0.2900
mixed,5,ARM-like,Proposed Hybrid,17.6524,32.4594,11.7790,0.9257,0.0658,0.6000,0.6805,126.6002,7.0000,0.3500
mixed,10,ARM-like,Contextual Bandit RL,52.8439,70.8140,27.2437,0.9610,0.0565,0.7200,0.3158,307.2892,20.2000,1.0100
mixed,10,ARM-like,PRM,50.5743,68.5444,42.2084,0.9610,0.0565,0.6200,0.3054,307.2892,10.8000,0.5400
mixed,10,ARM-like,PRR,51.2011,69.1712,42.3496,0.9610,0.0565,0.6200,0.2979,307.2892,16.8000,0.8400
mixed,10,ARM-like,Proposed Hybrid,44.5378,62.5079,30.3611,0.9610,0.0565,0.7200,0.4951,307.2892,20.0000,1.0000
mixed,20,ARM-like,Contextual Bandit RL,127.3433,145.1338,50.9408,0.9799,0.0597,0.7800,0.1807,608.4338,55.2000,2.7600
mixed,20,ARM-like,PRM,105.7327,123.5232,93.9177,0.9799,0.0597,0.7100,0.2479,608.4338,23.0000,1.1500
mixed,20,ARM-like,PRR,108.5278,126.3182,89.4556,0.9799,0.0597,0.7700,0.2093,608.4338,49.0000,2.4500
mixed,20,ARM-like,Proposed Hybrid,101.4719,119.2624,62.8592,0.9799,0.0597,0.8400,0.2820,608.4338,52.2000,2.6100
mixed,50,ARM-like,Contextual Bandit RL,348.9046,366.9429,133.6581,0.9926,0.0566,0.8160,0.1630,1542.2792,158.8000,7.9400
mixed,50,ARM-like,PRM,284.6239,302.6623,268.6737,0.9926,0.0566,0.7800,0.1962,1542.2792,58.2000,2.9100
mixed,50,ARM-like,PRR,271.7648,289.8032,232.1919,0.9926,0.0566,0.8280,0.1911,1542.2792,154.8000,7.7400
mixed,50,ARM-like,Proposed Hybrid,296.5534,314.5918,181.9256,0.9926,0.0566,0.9040,0.1470,1542.2792,164.2000,8.2100
mixed,100,ARM-like,Contextual Bandit RL,648.6657,666.6949,297.8810,0.9964,0.0557,0.7920,0.1680,3082.9932,316.6000,15.8300
