scheduler,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
PRR,20,105.629,119.556,80.654,0.9821,0.07052,16,0.8,0.2433,417.81,45,2.25,283.61,normal,1
PRM,20,92.869,106.796,70.6195,0.9821,0.07052,14,0.7,0.299,417.81,25,1.25,283.61,normal,1
Contextual Bandit RL,20,147.1575,161.0845,44.1355,0.9821,0.07052,17,0.85,0.0964,417.81,64,3.2,283.61,normal,1
Proposed Hybrid,20,111.2135,125.1405,76.3095,0.9821,0.07052,18,0.9,0.1711,417.81,52,2.6,283.61,normal,1
PRR,20,68.09,80.853,47.587,0.9862,0.07727,11,0.55,0.269,382.89,46,2.3,258.83,normal,2
PRM,20,62.754,75.517,51.8335,0.9862,0.07727,12,0.6,0.3766,382.89,25,1.25,258.83,normal,2
Contextual Bandit RL,20,88.2965,101.0595,24.268,0.9862,0.07727,14,0.7,0.2561,382.89,49,2.45,258.83,normal,2
Proposed Hybrid,20,65.5455,78.3085,44.4375,0.9862,0.07727,13,0.65,0.3647,382.89,44,2.2,258.83,normal,2
PRR,20,90.019,103.0455,66.055,0.9905,0.07603,16,0.8,0.1432,390.795,55,2.75,263.04,normal,3
PRM,20,82.251,95.2775,75.9615,0.9905,0.07603,15,0.75,0.1701,390.795,21,1.05,263.04,normal,3
Contextual Bandit RL,20,123.247,136.2735,8.478,0.9905,0.07603,18,0.9,0.146,390.795,62,3.1,263.04,normal,3
Proposed Hybrid,20,95.4645,108.491,57.637,0.9905,0.07603,17,0.85,0.1627,390.795,56,2.8,263.04,normal,3
PRR,20,65.3915,77.81,57.092,0.9701,0.07812,12,0.6,0.3474,372.555,45,2.25,256.03,normal,4
PRM,20,79.946,92.3645,71.2565,0.9701,0.07812,13,0.65,0.2025,372.555,23,1.15,256.03,normal,4
Contextual Bandit RL,20,84.457,96.8755,51.8975,0.9701,0.07812,14,0.7,0.2656,372.555,53,2.65,256.03,normal,4
Proposed Hybrid,20,95.727,108.1455,47.6215,0.9701,0.07812,18,0.9,0.0881,372.555,57,2.85,256.03,normal,4
PRR,20,81.95,95.1345,65.9775,0.9748,0.07393,14,0.7,0.217,395.535,43,2.15,270.52,normal,5
PRM,20,75.3785,88.563,65.711,0.9748,0.07393,14,0.7,0.34,395.535,26,1.3,270.52,normal,5
Contextual Bandit RL,20,118.3975,131.582,33.7315,0.9748,0.07393,18,0.9,0.1589,395.535,57,2.85,270.52,normal,5
Proposed Hybrid,20,87.8025,100.987,46.624,0.9748,0.07393,15,0.75,0.2534,395.535,60,3.0,270.52,normal,5
PRR,20,432.995,476.802,332.31,0.9965,0.02275,19,0.95,0.509,2190.35,170,8.5,879.19,cpu_heavy,1
PRM,20,383.586,427.393,312.5735,0.9965,0.02275,18,0.9,0.0711,2190.35,23,1.15,879.19,cpu_heavy,1
Contextual Bandit RL,20,626.7855,670.5925,112.369,0.9965,0.02275,19,0.95,0.0896,2190.35,194,9.7,879.19,cpu_heavy,1
Proposed Hybrid,20,572.935,616.742,169.623,0.9965,0.02275,19,0.95,0.2048,2190.35,181,9.05,879.19,cpu_heavy,1
PRR,20,371.085,411.785,305.856,0.9975,0.02451,19,0.95,0.0595,2035.0,164,8.2,816.05,cpu_heavy,2
PRM,20,339.913,380.613,335.6825,0.9975,0.02451,18,0.9,0.0961,2035.0,21,1.05,816.05,cpu_heavy,2
Contextual Bandit RL,20,565.086,605.786,140.2015,0.9975,0.02451,19,0.95,0.0974,2035.0,177,8.85,816.05,cpu_heavy,2
Proposed Hybrid,20,482.316,523.016,126.807,0.9975,0.02451,18,0.9,0.1646,2035.0,182,9.1,816.05,cpu_heavy,2
PRR,20,394.0085,435.4095,315.2485,0.9984,0.02411,18,0.9,0.0858,2070.05,160,8.0,829.36,cpu_heavy,3
PRM,20,377.992,419.393,360.8015,0.9984,0.02411,17,0.85,0.0762,2070.05,20,1.0,829.36,cpu_heavy,3
Contextual Bandit RL,20,563.017,604.418,126.9495,0.9984,0.02411,18,0.9,0.1064,2070.05,180,9.0,829.36,cpu_heavy,3
Proposed Hybrid,20,567.367,608.768,104.323,0.9984,0.02411,19,0.95,0.2158,2070.05,191,9.55,829.36,cpu_heavy,3
PRR,20,356.838,396.618,308.7745,0.994,0.02499,18,0.9,0.4742,1989.0,162,8.1,800.37,cpu_heavy,4
PRM,20,367.1155,406.8955,361.033,0.994,0.02499,18,0.9,0.0804,1989.0,21,1.05,800.37,cpu_heavy,4
Contextual Bandit RL,20,590.2945,630.0745,97.259,0.994,0.02499,20,1.0,0.1457,1989.0,182,9.1,800.37,cpu_heavy,4
Proposed Hybrid,20,464.771,504.551,103.6545,0.994,0.02499,18,0.9,0.2299,1989.0,174,8.7,800.37,cpu_heavy,4
PRR,20,390.713,432.538,302.8495,0.995,0.02379,17,0.85,0.092,2091.25,160,8.0,840.72,cpu_heavy,5
PRM,20,365.0805,406.9055,345.34,0.995,0.02379,17,0.85,0.1007,2091.25,22,1.1,840.72,cpu_heavy,5
Contextual Bandit RL,20,624.461,666.286,117.728,0.995,0.02379,19,0.95,0.2444,2091.25,190,9.5,840.72,cpu_heavy,5
Proposed Hybrid,20,521.182,563.007,115.5465,0.995,0.02379,19,0.95,0.2258,2091.25,197,9.85,840.72,cpu_heavy,5
PRR,20,283.65,314.218,225.038,0.9917,0.03244,18,0.9,0.4492,1222.72,102,5.1,616.48,bursty,1
PRM,20,238.599,269.167,209.2975,0.9917,0.03244,16,0.8,0.1795,1222.72,21,1.05,616.48,bursty,1
Contextual Bandit RL,20,372.9435,403.5115,53.5525,0.9917,0.03244,18,0.9,0.1012,1222.72,135,6.75,616.48,bursty,1
Proposed Hybrid,20,305.888,336.456,142.577,0.9917,0.03244,19,0.95,0.1763,1222.72,119,5.95,616.48,bursty,1
PRR,20,182.783,209.6225,135.5905,0.9951,0.03708,13,0.65,0.1782,1073.58,98,4.9,539.41,bursty,2
PRM,20,180.2885,207.128,168.3945,0.9951,0.03708,14,0.7,0.2592,1073.58,24,1.2,539.41,bursty,2
Contextual Bandit RL,20,285.5085,312.348,97.3365,0.9951,0.03708,20,1.0,0.2155,1073.58,108,5.4,539.41,bursty,2
Proposed Hybrid,20,206.75,233.5895,77.5455,0.9951,0.03708,16,0.8,0.3171,1073.58,109,5.45,539.41,bursty,2
PRR,20,235.693,263.3755,188.005,0.9984,0.03607,18,0.9,0.1157,1107.3,94,4.7,554.51,bursty,3
PRM,20,231.5885,259.271,215.544,0.9984,0.03607,17,0.85,0.1515,1107.3,21,1.05,554.51,bursty,3
Contextual Bandit RL,20,333.8395,361.522,62.4585,0.9984,0.03607,18,0.9,0.1478,1107.3,121,6.05,554.51,bursty,3
Proposed Hybrid,20,280.9065,308.589,94.665,0.9984,0.03607,18,0.9,0.3646,1107.3,124,6.2,554.51,bursty,3
PRR,20,183.823,209.5605,162.7575,0.982,0.03815,15,0.75,0.2687,1029.5,91,4.55,524.18,bursty,4
PRM,20,215.401,241.1385,212.9825,0.982,0.03815,16,0.8,0.1333,1029.5,21,1.05,524.18,bursty,4
Contextual Bandit RL,20,274.5485,300.286,56.6475,0.982,0.03815,18,0.9,0.1372,1029.5,112,5.6,524.18,bursty,4
Proposed Hybrid,20,246.844,272.5815,114.0755,0.982,0.03815,18,0.9,0.0711,1029.5,102,5.1,524.18,bursty,4
PRR,20,222.2615,250.451,174.165,0.9859,0.03497,15,0.75,0.2341,1127.58,97,4.85,571.84,bursty,5
PRM,20,202.8825,231.072,188.1525,0.9859,0.03497,15,0.75,0.1915,1127.58,25,1.25,571.84,bursty,5
Contextual Bandit RL,20,289.8935,318.083,77.4565,0.9859,0.03497,16,0.8,0.2022,1127.58,118,5.9,571.84,bursty,5
Proposed Hybrid,20,259.7735,287.963,75.0855,0.9859,0.03497,18,0.9,0.2338,1127.58,119,5.95,571.84,bursty,5
PRR,20,110.994,130.7695,78.4075,0.9822,0.04967,14,0.7,0.2112,711.918,65,3.25,402.66,mixed,1
PRM,20,135.013,154.7885,134.321,0.9822,0.04967,14,0.7,0.2235,711.918,20,1.0,402.66,mixed,1
Contextual Bandit RL,20,113.597,133.3725,49.0125,0.9822,0.04967,12,0.6,0.266,711.918,61,3.05,402.66,mixed,1
Proposed Hybrid,20,106.065,125.8405,68.823,0.9822,0.04967,15,0.75,0.203,711.918,47,2.35,402.66,mixed,1
PRR,20,68.0145,79.844,59.6035,0.9869,0.08343,14,0.7,0.2367,425.862,39,1.95,239.73,mixed,2
PRM,20,53.0955,64.925,47.1255,0.9869,0.08343,12,0.6,0.3393,425.862,24,1.2,239.73,mixed,2
Contextual Bandit RL,20,55.5265,67.356,12.577,0.9869,0.08343,11,0.55,0.4673,425.862,47,2.35,239.73,mixed,2
Proposed Hybrid,20,58.754,70.5835,50.305,0.9869,0.08343,15,0.75,0.1789,425.862,35,1.75,239.73,mixed,2
PRR,20,104.595,122.485,75.0595,0.9971,0.05574,15,0.75,0.2226,644.04,52,2.6,358.83,mixed,3
PRM,20,88.2645,106.1545,68.594,0.9971,0.05574,13,0.65,0.2773,644.04,22,1.1,358.83,mixed,3
Contextual Bandit RL,20,95.3155,113.2055,52.223,0.9971,0.05574,13,0.65,0.2487,644.04,60,3.0,358.83,mixed,3
Proposed Hybrid,20,88.6965,106.5865,63.8735,0.9971,0.05574,15,0.75,0.1778,644.04,65,3.25,358.83,mixed,3
PRR,20,36.5885,45.6345,29.7515,0.9411,0.10404,13,0.65,0.2843,325.656,39,1.95,192.24,mixed,4
PRM,20,34.191,43.237,31.39,0.9411,0.10404,11,0.55,0.4373,325.656,23,1.15,192.24,mixed,4
Contextual Bandit RL,20,42.8585,51.9045,9.1595,0.9411,0.10404,14,0.7,0.3237,325.656,34,1.7,192.24,mixed,4
Proposed Hybrid,20,33.5385,42.5845,24.164,0.9411,0.10404,16,0.8,0.6231,325.656,36,1.8,192.24,mixed,4
PRR,20,98.2505,115.319,85.3225,0.9725,0.05698,13,0.65,0.346,614.466,41,2.05,351.03,mixed,5
PRM,20,82.6815,99.75,81.1,0.9725,0.05698,12,0.6,0.3523,614.466,23,1.15,351.03,mixed,5
Contextual Bandit RL,20,148.6305,165.699,45.1715,0.9725,0.05698,18,0.9,0.1685,614.466,60,3.0,351.03,mixed,5
Proposed Hybrid,20,98.4635,115.532,42.118,0.9725,0.05698,15,0.75,0.2384,614.466,59,2.95,351.03,mixed,5
PRR,50,0.138,5.4786,0.138,0.5258,0.09845,0,0.0,0.9686,267.03,49,2.45,507.86,light,1
PRM,50,0.138,5.4786,0.138,0.5258,0.09845,0,0.0,0.9686,267.03,49,2.45,507.86,light,1
Contextual Bandit RL,50,0.138,5.4786,0.138,0.5258,0.09845,0,0.0,0.9686,267.03,49,2.45,507.86,light,1
Proposed Hybrid,50,0.138,5.4786,0.138,0.5258,0.09845,0,0.0,0.9686,267.03,49,2.45,507.86,light,1
PRR,50,0.1494,5.7954,0.1494,0.5485,0.09715,1,0.02,0.9679,282.3,49,2.45,514.68,light,2
PRM,50,0.1494,5.7954,0.1494,0.5485,0.09715,1,0.02,0.9679,282.3,49,2.45,514.68,light,2
Contextual Bandit RL,50,0.1494,5.7954,0.1494,0.5485,0.09715,1,0.02,0.9679,282.3,49,2.45,514.68,light,2
Proposed Hybrid,50,0.1494,5.7954,0.1494,0.5485,0.09715,1,0.02,0.9679,282.3,49,2.45,514.68,light,2
PRR,50,0.0414,5.2592,0.0414,0.5129,0.09829,0,0.0,0.9903,260.89,49,2.45,508.68,light,3
PRM,50,0.0414,5.2592,0.0414,0.5129,0.09829,0,0.0,0.9903,260.89,49,2.45,508.68,light,3
Contextual Bandit RL,50,0.0414,5.2592,0.0414,0.5129,0.09829,0,0.0,0.9903,260.89,49,2.45,508.68,light,3
Proposed Hybrid,50,0.0414,5.2592,0.0414,0.5129,0.09829,0,0.0,0.9903,260.89,49,2.45,508.68,light,3
PRR,50,0.063,5.3702,0.063,0.4884,0.09204,0,0.0,0.9872,265.36,49,2.45,543.27,light,4
PRM,50,0.063,5.3702,0.063,0.4884,0.09204,0,0.0,0.9872,265.36,49,2.45,543.27,light,4
Contextual Bandit RL,50,0.063,5.3702,0.063,0.4884,0.09204,0,0.0,0.9872,265.36,49,2.45,543.27,light,4
Proposed Hybrid,50,0.063,5.3702,0.063,0.4884,0.09204,0,0.0,0.9872,265.36,49,2.45,543.27,light,4
PRR,50,0.0968,5.2788,0.0968,0.5154,0.09946,0,0.0,0.9777,259.1,49,2.45,502.73,light,5
PRM,50,0.0968,5.2788,0.0968,0.5154,0.09946,0,0.0,0.9777,259.1,49,2.45,502.73,light,5
Contextual Bandit RL,50,0.0968,5.2788,0.0968,0.5154,0.09946,0,0.0,0.9777,259.1,49,2.45,502.73,light,5
Proposed Hybrid,50,0.0968,5.2788,0.0968,0.5154,0.09946,0,0.0,0.9777,259.1,49,2.45,502.73,light,5
PRR,50,233.4208,246.772,177.3612,0.9925,0.07434,42,0.84,0.1628,1001.34,162,8.1,672.63,normal,1
PRM,50,205.7034,219.0546,185.5908,0.9925,0.07434,37,0.74,0.2356,1001.34,58,2.9,672.63,normal,1
Contextual Bandit RL,50,333.5068,346.858,97.5214,0.9925,0.07434,43,0.86,0.1161,1001.34,155,7.75,672.63,normal,1
Proposed Hybrid,50,239.4624,252.8136,152.1364,0.9925,0.07434,43,0.86,0.1498,1001.34,137,6.85,672.63,normal,1
PRR,50,227.1666,241.2828,181.3468,0.995,0.07048,36,0.72,0.182,1058.715,157,7.85,709.38,normal,2
PRM,50,220.6638,234.78,202.2928,0.995,0.07048,38,0.76,0.2234,1058.715,58,2.9,709.38,normal,2
Contextual Bandit RL,50,276.7018,290.818,127.5272,0.995,0.07048,36,0.72,0.1974,1058.715,138,6.9,709.38,normal,2
Proposed Hybrid,50,259.2066,273.3228,142.0992,0.995,0.07048,40,0.8,0.1674,1058.715,151,7.55,709.38,normal,2
PRR,50,227.8688,240.9142,179.7704,0.9962,0.07636,40,0.8,0.1469,978.405,158,7.9,654.78,normal,3
PRM,50,207.9578,221.0032,195.4148,0.9962,0.07636,38,0.76,0.1941,978.405,60,3.0,654.78,normal,3
Contextual Bandit RL,50,327.5386,340.584,54.0012,0.9962,0.07636,43,0.86,0.1246,978.405,157,7.85,654.78,normal,3
Proposed Hybrid,50,243.2094,256.2548,153.421,0.9962,0.07636,42,0.84,0.1362,978.405,154,7.7,654.78,normal,3
PRR,50,192.5772,205.845,157.3604,0.9886,0.07451,35,0.7,0.26,995.085,142,7.1,671.05,normal,4
PRM,50,202.6522,215.92,191.7282,0.9886,0.07451,37,0.74,0.1733,995.085,57,2.85,671.05,normal,4
Contextual Bandit RL,50,250.4934,263.7612,103.6242,0.9886,0.07451,36,0.72,0.1857,995.085,150,7.5,671.05,normal,4
Proposed Hybrid,50,218.3142,231.582,131.8402,0.9886,0.07451,43,0.86,0.1053,995.085,154,7.7,671.05,normal,4
PRR,50,216.6984,229.654,179.0426,0.9896,0.07638,39,0.78,0.1833,971.67,147,7.35,654.61,normal,5
PRM,50,200.8776,213.8332,187.3504,0.9896,0.07638,40,0.8,0.2257,971.67,60,3.0,654.61,normal,5
Contextual Bandit RL,50,318.7262,331.6818,89.2652,0.9896,0.07638,46,0.92,0.1057,971.67,156,7.8,654.61,normal,5
Proposed Hybrid,50,242.7908,255.7464,140.4428,0.9896,0.07638,43,0.86,0.1722,971.67,151,7.55,654.61,normal,5
PRR,50,1047.145,1089.4144,851.6664,0.9986,0.02362,50,1.0,0.4033,5283.675,532,26.6,2116.52,cpu_heavy,1
PRM,50,948.098,990.3674,884.9656,0.9986,0.02362,46,0.92,0.0367,5283.675,54,2.7,2116.52,cpu_heavy,1
Contextual Bandit RL,50,1674.2604,1716.5298,243.1566,0.9986,0.02362,48,0.96,0.0401,5283.675,491,24.55,2116.52,cpu_heavy,1
Proposed Hybrid,50,1272.094,1314.3634,429.3052,0.9986,0.02362,49,0.98,0.1233,5283.675,493,24.65,2116.52,cpu_heavy,1
PRR,50,1074.5816,1118.8916,891.5008,0.9991,0.02255,49,0.98,0.0248,5538.75,548,27.4,2217.55,cpu_heavy,2
PRM,50,1035.176,1079.486,1025.3982,0.9991,0.02255,47,0.94,0.0428,5538.75,52,2.6,2217.55,cpu_heavy,2
Contextual Bandit RL,50,1616.1954,1660.5054,377.3956,0.9991,0.02255,47,0.94,0.0488,5538.75,510,25.5,2217.55,cpu_heavy,2
Proposed Hybrid,50,1278.9878,1323.2978,347.619,0.9991,0.02255,47,0.94,0.0927,5538.75,520,26.0,2217.55,cpu_heavy,2
PRR,50,1034.3878,1075.8402,847.1746,0.9994,0.02411,49,0.98,0.0244,5181.55,508,25.4,2073.96,cpu_heavy,3
PRM,50,968.1814,1009.6338,930.7618,0.9994,0.02411,47,0.94,0.0514,5181.55,75,3.75,2073.96,cpu_heavy,3
Contextual Bandit RL,50,1592.071,1633.5234,361.4046,0.9994,0.02411,47,0.94,0.0743,5181.55,497,24.85,2073.96,cpu_heavy,3
Proposed Hybrid,50,1241.9318,1283.3842,411.8982,0.9994,0.02411,48,0.96,0.0869,5181.55,505,25.25,2073.96,cpu_heavy,3
PRR,50,986.2172,1028.265,832.1598,0.9977,0.02373,47,0.94,0.135,5255.975,518,25.9,2107.16,cpu_heavy,4
PRM,50,958.176,1000.2238,946.6004,0.9977,0.02373,46,0.92,0.0508,5255.975,52,2.6,2107.16,cpu_heavy,4
Contextual Bandit RL,50,1637.1034,1679.1512,335.07,0.9977,0.02373,48,0.96,0.0596,5255.975,497,24.85,2107.16,cpu_heavy,4
Proposed Hybrid,50,1162.1672,1204.215,422.0272,0.9977,0.02373,47,0.94,0.1193,5255.975,503,25.15,2107.16,cpu_heavy,4
PRR,50,998.7968,1040.0116,833.2478,0.998,0.02421,46,0.92,0.0326,5151.85,507,25.35,2064.96,cpu_heavy,5
PRM,50,940.2856,981.5004,916.2644,0.998,0.02421,48,0.96,0.0563,5151.85,67,3.35,2064.96,cpu_heavy,5
Contextual Bandit RL,50,1582.6856,1623.9004,371.078,0.998,0.02421,48,0.96,0.0625,5151.85,495,24.75,2064.96,cpu_heavy,5
Proposed Hybrid,50,1275.8324,1317.0472,312.3462,0.998,0.02421,48,0.96,0.1276,5151.85,498,24.9,2064.96,cpu_heavy,5
PRR,50,635.3196,664.043,519.6322,0.9964,0.03469,47,0.94,0.2205,2872.34,346,17.3,1441.29,bursty,1
PRM,50,560.4396,589.163,530.9836,0.9964,0.03469,42,0.84,0.1387,2872.34,54,2.7,1441.29,bursty,1
Contextual Bandit RL,50,858.8132,887.5366,203.6788,0.9964,0.03469,44,0.88,0.0671,2872.34,317,15.85,1441.29,bursty,1
Proposed Hybrid,50,708.7088,737.4322,321.798,0.9964,0.03469,49,0.98,0.0904,2872.34,324,16.2,1441.29,bursty,1
PRR,50,632.21,663.3812,517.0092,0.9983,0.03203,45,0.9,0.0812,3117.12,368,18.4,1561.18,bursty,2
PRM,50,654.0862,685.2574,628.4656,0.9983,0.03203,41,0.82,0.1097,3117.12,56,2.8,1561.18,bursty,2
Contextual Bandit RL,50,922.2552,953.4264,260.0088,0.9983,0.03203,46,0.92,0.0738,3117.12,343,17.15,1561.18,bursty,2
Proposed Hybrid,50,693.107,724.2782,299.7598,0.9983,0.03203,44,0.88,0.1618,3117.12,342,17.1,1561.18,bursty,2
PRR,50,618.572,646.315,513.525,0.9994,0.03602,48,0.96,0.0431,2774.3,335,16.75,1388.01,bursty,3
PRM,50,590.6924,618.4354,557.459,0.9994,0.03602,43,0.86,0.1035,2774.3,70,3.5,1388.01,bursty,3
Contextual Bandit RL,50,847.8788,875.6218,216.3666,0.9994,0.03602,45,0.9,0.1096,2774.3,318,15.9,1388.01,bursty,3
Proposed Hybrid,50,657.9102,685.6532,263.7938,0.9994,0.03602,44,0.88,0.1802,2774.3,317,15.85,1388.01,bursty,3
PRR,50,551.1802,579.6386,468.8246,0.9934,0.03491,41,0.82,0.1099,2845.84,325,16.25,1432.35,bursty,4
PRM,50,567.8278,596.2862,562.5874,0.9934,0.03491,42,0.84,0.0978,2845.84,53,2.65,1432.35,bursty,4
Contextual Bandit RL,50,785.7844,814.2428,206.0418,0.9934,0.03491,42,0.84,0.1283,2845.84,314,15.7,1432.35,bursty,4
Proposed Hybrid,50,606.9386,635.397,264.955,0.9934,0.03491,46,0.92,0.0548,2845.84,331,16.55,1432.35,bursty,4
PRR,50,584.1054,611.5636,482.5218,0.9942,0.03621,44,0.88,0.1175,2745.82,308,15.4,1380.96,bursty,5
PRM,50,543.8176,571.2758,517.7488,0.9942,0.03621,42,0.84,0.1103,2745.82,56,2.8,1380.96,bursty,5
Contextual Bandit RL,50,756.2214,783.6796,251.94,0.9942,0.03621,44,0.88,0.1481,2745.82,308,15.4,1380.96,bursty,5
Proposed Hybrid,50,675.7796,703.2378,298.8206,0.9942,0.03621,48,0.96,0.1147,2745.82,314,15.7,1380.96,bursty,5
PRR,50,255.5076,272.392,210.7782,0.9916,0.05873,41,0.82,0.1395,1519.596,186,9.3,851.37,mixed,1
PRM,50,300.7652,317.6496,297.551,0.9916,0.05873,39,0.78,0.1789,1519.596,55,2.75,851.37,mixed,1
Contextual Bandit RL,50,284.57,301.4544,133.0732,0.9916,0.05873,38,0.76,0.2148,1519.596,159,7.95,851.37,mixed,1
Proposed Hybrid,50,277.877,294.7614,189.7528,0.9916,0.05873,40,0.8,0.12,1519.596,147,7.35,851.37,mixed,1
PRR,50,175.2472,187.9398,154.1984,0.9951,0.0784,36,0.72,0.2475,1142.334,112,5.6,637.77,mixed,2
PRM,50,150.5996,163.2922,146.2704,0.9951,0.0784,36,0.72,0.2384,1142.334,61,3.05,637.77,mixed,2
Contextual Bandit RL,50,165.7814,178.474,81.076,0.9951,0.0784,35,0.7,0.3319,1142.334,121,6.05,637.77,mixed,2
Proposed Hybrid,50,175.7094,188.402,109.2782,0.9951,0.0784,41,0.82,0.1647,1142.334,128,6.4,637.77,mixed,2
PRR,50,297.1736,316.9914,236.2174,0.999,0.05041,41,0.82,0.1566,1783.602,205,10.25,991.92,mixed,3
PRM,50,324.775,344.5928,299.6444,0.999,0.05041,37,0.74,0.1844,1783.602,57,2.85,991.92,mixed,3
Contextual Bandit RL,50,449.6096,469.4274,188.0614,0.999,0.05041,42,0.84,0.1173,1783.602,202,10.1,991.92,mixed,3
Proposed Hybrid,50,331.616,351.4338,194.7524,0.999,0.05041,42,0.84,0.0852,1783.602,202,10.1,991.92,mixed,3
PRR,50,139.6006,152.3768,120.4228,0.9826,0.07691,34,0.68,0.2315,1149.858,123,6.15,650.13,mixed,4
PRM,50,138.8298,151.606,129.5898,0.9826,0.07691,33,0.66,0.318,1149.858,64,3.2,650.13,mixed,4
Contextual Bandit RL,50,153.897,166.6732,61.5614,0.9826,0.07691,34,0.68,0.2817,1149.858,107,5.35,650.13,mixed,4
Proposed Hybrid,50,125.2574,138.0336,84.7712,0.9826,0.07691,42,0.84,0.321,1149.858,128,6.4,650.13,mixed,4
PRR,50,183.0506,197.5426,157.4752,0.9868,0.0681,34,0.68,0.3568,1304.28,123,6.15,734.26,mixed,5
PRM,50,167.954,182.446,164.4352,0.9868,0.0681,32,0.64,0.3569,1304.28,62,3.1,734.26,mixed,5
Contextual Bandit RL,50,291.4384,305.9304,82.8864,0.9868,0.0681,43,0.86,0.1366,1304.28,151,7.55,734.26,mixed,5
Proposed Hybrid,50,194.03,208.522,120.6906,0.9868,0.0681,43,0.86,0.1596,1304.28,145,7.25,734.26,mixed,5
PRR,100,0.1254,5.1672,0.1254,0.4951,0.0982,1,0.01,0.9712,504.18,99,4.95,1018.37,light,1
PRM,100,0.1254,5.1672,0.1254,0.4951,0.0982,1,0.01,0.9712,504.18,99,4.95,1018.37,light,1
Contextual Bandit RL,100,0.1254,5.1672,0.1254,0.4951,0.0982,1,0.01,0.9712,504.18,99,4.95,1018.37,light,1
Proposed Hybrid,100,0.1254,5.1672,0.1254,0.4951,0.0982,1,0.01,0.9712,504.18,99,4.95,1018.37,light,1
PRR,100,0.175,5.4447,0.1368,0.5239,0.09941,1,0.01,0.9688,526.97,100,5.0,1005.95,light,2
PRM,100,0.1494,5.4191,0.1494,0.5239,0.09941,1,0.01,0.9679,526.97,99,4.95,1005.95,light,2
Contextual Bandit RL,100,0.1494,5.4191,0.1494,0.5239,0.09941,1,0.01,0.9679,526.97,99,4.95,1005.95,light,2
Proposed Hybrid,100,0.1494,5.4191,0.1494,0.5239,0.09941,1,0.01,0.9679,526.97,99,4.95,1005.95,light,2
PRR,100,0.0317,5.0911,0.0317,0.4966,0.09816,0,0.0,0.9927,505.94,99,4.95,1018.77,light,3
PRM,100,0.0317,5.0911,0.0317,0.4966,0.09816,0,0.0,0.9927,505.94,99,4.95,1018.77,light,3
Contextual Bandit RL,100,0.0317,5.0911,0.0317,0.4966,0.09816,0,0.0,0.9927,505.94,99,4.95,1018.77,light,3
Proposed Hybrid,100,0.0317,5.0911,0.0317,0.4966,0.09816,0,0.0,0.9927,505.94,99,4.95,1018.77,light,3
PRR,100,0.0684,5.422,0.0684,0.501,0.09359,0,0.0,0.9847,535.36,99,4.95,1068.49,light,4
PRM,100,0.0684,5.422,0.0684,0.501,0.09359,0,0.0,0.9847,535.36,99,4.95,1068.49,light,4
Contextual Bandit RL,100,0.0684,5.422,0.0684,0.501,0.09359,0,0.0,0.9847,535.36,99,4.95,1068.49,light,4
Proposed Hybrid,100,0.0684,5.422,0.0684,0.501,0.09359,0,0.0,0.9847,535.36,99,4.95,1068.49,light,4
PRR,100,0.1016,5.1797,0.1016,0.5202,0.10244,0,0.0,0.9766,507.81,99,4.95,976.15,light,5
PRM,100,0.1016,5.1797,0.1016,0.5202,0.10244,0,0.0,0.9766,507.81,99,4.95,976.15,light,5
Contextual Bandit RL,100,0.1016,5.1797,0.1016,0.5202,0.10244,0,0.0,0.9766,507.81,99,4.95,976.15,light,5
Proposed Hybrid,100,0.1016,5.1797,0.1016,0.5202,0.10244,0,0.0,0.9766,507.81,99,4.95,976.15,light,5
PRR,100,412.3651,424.9699,325.7879,0.996,0.07902,82,0.82,0.1457,1890.72,306,15.3,1265.55,normal,1
PRM,100,374.9751,387.5799,356.7453,0.996,0.07902,75,0.75,0.2239,1890.72,118,5.9,1265.55,normal,1
Contextual Bandit RL,100,525.7813,538.3861,230.745,0.996,0.07902,79,0.79,0.1599,1890.72,278,13.9,1265.55,normal,1
Proposed Hybrid,100,473.3586,485.9634,300.2547,0.996,0.07902,92,0.92,0.0853,1890.72,277,13.85,1265.55,normal,1
PRR,100,436.4711,449.6477,355.0408,0.9973,0.07569,78,0.78,0.1581,1976.49,325,16.25,1321.23,normal,2
PRM,100,413.3912,426.5678,393.5986,0.9973,0.07569,78,0.78,0.1765,1976.49,115,5.75,1321.23,normal,2
Contextual Bandit RL,100,525.8019,538.9785,256.9547,0.9973,0.07569,73,0.73,0.1894,1976.49,272,13.6,1321.23,normal,2
Proposed Hybrid,100,491.2186,504.3952,301.4858,0.9973,0.07569,85,0.85,0.1288,1976.49,299,14.95,1321.23,normal,2
PRR,100,429.0893,441.7381,348.9305,0.998,0.0789,80,0.8,0.1506,1897.32,310,15.5,1267.39,normal,3
PRM,100,393.8536,406.5024,379.4817,0.998,0.0789,77,0.77,0.1895,1897.32,124,6.2,1267.39,normal,3
Contextual Bandit RL,100,550.5829,563.2317,184.7918,0.998,0.0789,79,0.79,0.1805,1897.32,284,14.2,1267.39,normal,3
Proposed Hybrid,100,466.9959,479.6447,313.3032,0.998,0.0789,90,0.9,0.0862,1897.32,295,14.75,1267.39,normal,3
