scheduler,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
Contextual Bandit RL,5,127.008,165.856,12.2,0.9931,0.02556,5,1.0,0.9491,485.6,34,1.7,195.58,cpu_heavy,3
Proposed Hybrid,5,96.452,135.3,14.6,0.9931,0.02556,4,0.8,0.8132,485.6,28,1.4,195.58,cpu_heavy,3
PRR,5,87.366,132.918,73.676,0.9795,0.0215,3,0.6,0.7658,569.4,22,1.1,232.53,cpu_heavy,4
PRM,5,88.686,134.238,88.686,0.9795,0.0215,2,0.4,0.2202,569.4,4,0.2,232.53,cpu_heavy,4
Contextual Bandit RL,5,92.166,137.718,46.768,0.9795,0.0215,3,0.6,0.5097,569.4,18,0.9,232.53,cpu_heavy,4
Proposed Hybrid,5,104.966,150.518,28.262,0.9795,0.0215,3,0.6,0.5154,569.4,27,1.35,232.53,cpu_heavy,4
PRR,5,68.596,110.786,29.434,0.9804,0.02324,3,0.6,0.2346,527.375,7,0.35,215.17,cpu_heavy,5
PRM,5,68.21,110.4,56.456,0.9804,0.02324,3,0.6,0.2745,527.375,5,0.25,215.17,cpu_heavy,5
Contextual Bandit RL,5,108.854,151.044,21.266,0.9804,0.02324,5,1.0,0.5171,527.375,38,1.9,215.17,cpu_heavy,5
Proposed Hybrid,5,93.428,135.618,29.82,0.9804,0.02324,5,1.0,0.5144,527.375,24,1.2,215.17,cpu_heavy,5
PRR,5,68.838,102.014,42.786,0.9701,0.02924,4,0.8,0.3092,331.76,12,0.6,171.0,bursty,1
PRM,5,52.614,85.79,28.962,0.9701,0.02924,3,0.6,0.2527,331.76,5,0.25,171.0,bursty,1
Contextual Bandit RL,5,114.204,147.38,10.83,0.9701,0.02924,5,1.0,0.9866,331.76,31,1.55,171.0,bursty,1
Proposed Hybrid,5,89.01,122.186,20.43,0.9701,0.02924,4,0.8,0.8077,331.76,33,1.65,171.0,bursty,1
PRR,5,18.164,38.108,15.96,0.9744,0.04886,1,0.2,0.4179,199.44,5,0.25,102.34,bursty,2
PRM,5,21.764,41.708,19.56,0.9744,0.04886,2,0.4,0.3484,199.44,5,0.25,102.34,bursty,2
Contextual Bandit RL,5,46.2,66.144,12.242,0.9744,0.04886,4,0.8,0.6414,199.44,14,0.7,102.34,bursty,2
Proposed Hybrid,5,21.364,41.308,10.364,0.9744,0.04886,1,0.2,0.6799,199.44,13,0.65,102.34,bursty,2
PRR,5,49.996,74.614,13.476,0.9931,0.04034,3,0.6,0.2359,246.18,16,0.8,123.95,bursty,3
PRM,5,56.03,80.648,37.296,0.9931,0.04034,3,0.6,0.3623,246.18,5,0.25,123.95,bursty,3
Contextual Bandit RL,5,70.554,95.172,9.912,0.9931,0.04034,4,0.8,0.8369,246.18,21,1.05,123.95,bursty,3
Proposed Hybrid,5,40.724,65.342,20.15,0.9931,0.04034,3,0.6,0.9271,246.18,16,0.8,123.95,bursty,3
PRR,5,53.102,85.764,45.394,0.9454,0.02895,3,0.6,0.7561,326.62,14,0.7,172.74,bursty,4
PRM,5,59.326,91.988,59.326,0.9454,0.02895,2,0.4,0.2318,326.62,4,0.2,172.74,bursty,4
Contextual Bandit RL,5,59.92,92.582,35.102,0.9454,0.02895,3,0.6,0.7301,326.62,16,0.8,172.74,bursty,4
Proposed Hybrid,5,62.702,95.364,24.264,0.9454,0.02895,3,0.6,0.2218,326.62,19,0.95,172.74,bursty,4
PRR,5,37.116,65.744,16.518,0.9468,0.03307,3,0.6,0.4353,286.28,7,0.35,151.19,bursty,5
PRM,5,33.45,62.078,28.144,0.9468,0.03307,2,0.4,0.4288,286.28,6,0.3,151.19,bursty,5
Contextual Bandit RL,5,44.408,73.036,7.622,0.9468,0.03307,3,0.6,0.4862,286.28,19,0.95,151.19,bursty,5
Proposed Hybrid,5,44.514,73.142,16.684,0.9468,0.03307,4,0.8,0.5366,286.28,14,0.7,151.19,bursty,5
PRR,5,3.742,19.866,3.742,0.9185,0.05697,1,0.2,0.6135,145.116,4,0.2,87.77,mixed,1
PRM,5,13.292,29.416,13.292,0.9185,0.05697,2,0.4,0.5553,145.116,4,0.2,87.77,mixed,1
Contextual Bandit RL,5,5.472,21.596,3.412,0.9185,0.05697,1,0.2,0.5014,145.116,6,0.3,87.77,mixed,1
Proposed Hybrid,5,4.374,20.498,4.374,0.9185,0.05697,2,0.4,0.5477,145.116,4,0.2,87.77,mixed,1
PRR,5,14.03,26.316,14.03,0.9514,0.07744,2,0.4,0.4862,110.574,4,0.2,64.57,mixed,2
PRM,5,13.246,25.532,12.622,0.9514,0.07744,1,0.2,0.5153,110.574,5,0.25,64.57,mixed,2
Contextual Bandit RL,5,8.61,20.896,2.648,0.9514,0.07744,1,0.2,0.7697,110.574,8,0.4,64.57,mixed,2
Proposed Hybrid,5,7.642,19.928,6.912,0.9514,0.07744,2,0.4,0.3866,110.574,5,0.25,64.57,mixed,2
PRR,5,5.572,14.324,2.224,0.977,0.11163,1,0.2,0.6002,78.768,5,0.25,44.79,mixed,3
PRM,5,5.572,14.324,2.224,0.977,0.11163,1,0.2,0.6002,78.768,5,0.25,44.79,mixed,3
Contextual Bandit RL,5,5.572,14.324,2.224,0.977,0.11163,1,0.2,0.6002,78.768,5,0.25,44.79,mixed,3
Proposed Hybrid,5,5.572,14.324,2.224,0.977,0.11163,1,0.2,0.6002,78.768,5,0.25,44.79,mixed,3
PRR,5,12.844,23.712,10.914,0.8276,0.07615,1,0.2,0.3436,97.812,7,0.35,65.66,mixed,4
PRM,5,14.538,25.406,5.362,0.8276,0.07615,3,0.6,0.4793,97.812,6,0.3,65.66,mixed,4
Contextual Bandit RL,5,21.376,32.244,8.268,0.8276,0.07615,3,0.6,0.8287,97.812,10,0.5,65.66,mixed,4
Proposed Hybrid,5,15.528,26.396,10.304,0.8276,0.07615,3,0.6,0.8611,97.812,8,0.4,65.66,mixed,4
PRR,5,25.938,40.838,22.74,0.8852,0.05941,3,0.6,0.4793,134.1,8,0.4,84.16,mixed,5
PRM,5,32.334,47.234,32.334,0.8852,0.05941,4,0.8,0.2511,134.1,4,0.2,84.16,mixed,5
Contextual Bandit RL,5,28.524,43.424,24.452,0.8852,0.05941,4,0.8,0.3695,134.1,8,0.4,84.16,mixed,5
Proposed Hybrid,5,19.15,34.05,12.172,0.8852,0.05941,3,0.6,0.3803,134.1,7,0.35,84.16,mixed,5
PRR,10,0.313,6.073,0.313,0.5878,0.10205,0,0.0,0.9317,57.6,9,0.45,97.99,light,1
PRM,10,0.313,6.073,0.313,0.5878,0.10205,0,0.0,0.9317,57.6,9,0.45,97.99,light,1
Contextual Bandit RL,10,0.313,6.073,0.313,0.5878,0.10205,0,0.0,0.9317,57.6,9,0.45,97.99,light,1
Proposed Hybrid,10,0.313,6.073,0.313,0.5878,0.10205,0,0.0,0.9317,57.6,9,0.45,97.99,light,1
PRR,10,-0.0,4.74,0.0,0.4144,0.08742,0,0.0,1.0,47.4,9,0.45,114.39,light,2
PRM,10,-0.0,4.74,0.0,0.4144,0.08742,0,0.0,1.0,47.4,9,0.45,114.39,light,2
Contextual Bandit RL,10,-0.0,4.74,0.0,0.4144,0.08742,0,0.0,1.0,47.4,9,0.45,114.39,light,2
Proposed Hybrid,10,-0.0,4.74,0.0,0.4144,0.08742,0,0.0,1.0,47.4,9,0.45,114.39,light,2
PRR,10,0.0,5.381,0.0,0.5184,0.09634,0,0.0,1.0,53.81,9,0.45,103.8,light,3
PRM,10,0.0,5.381,0.0,0.5184,0.09634,0,0.0,1.0,53.81,9,0.45,103.8,light,3
Contextual Bandit RL,10,0.0,5.381,0.0,0.5184,0.09634,0,0.0,1.0,53.81,9,0.45,103.8,light,3
Proposed Hybrid,10,0.0,5.381,0.0,0.5184,0.09634,0,0.0,1.0,53.81,9,0.45,103.8,light,3
PRR,10,-0.0,5.293,0.0,0.455,0.08596,0,0.0,1.0,52.93,9,0.45,116.33,light,4
PRM,10,-0.0,5.293,0.0,0.455,0.08596,0,0.0,1.0,52.93,9,0.45,116.33,light,4
Contextual Bandit RL,10,-0.0,5.293,0.0,0.455,0.08596,0,0.0,1.0,52.93,9,0.45,116.33,light,4
Proposed Hybrid,10,-0.0,5.293,0.0,0.455,0.08596,0,0.0,1.0,52.93,9,0.45,116.33,light,4
PRR,10,0.0,5.188,0.0,0.4263,0.08216,0,0.0,1.0,51.88,9,0.45,121.71,light,5
PRM,10,0.0,5.188,0.0,0.4263,0.08216,0,0.0,1.0,51.88,9,0.45,121.71,light,5
Contextual Bandit RL,10,0.0,5.188,0.0,0.4263,0.08216,0,0.0,1.0,51.88,9,0.45,121.71,light,5
Proposed Hybrid,10,0.0,5.188,0.0,0.4263,0.08216,0,0.0,1.0,51.88,9,0.45,121.71,light,5
PRR,10,57.868,72.269,41.802,0.966,0.06708,7,0.7,0.2792,216.015,15,0.75,149.08,normal,1
PRM,10,48.648,63.049,31.418,0.966,0.06708,7,0.7,0.3481,216.015,12,0.6,149.08,normal,1
Contextual Bandit RL,10,73.175,87.576,27.896,0.966,0.06708,9,0.9,0.6042,216.015,30,1.5,149.08,normal,1
Proposed Hybrid,10,67.623,82.024,38.123,0.966,0.06708,9,0.9,0.3579,216.015,24,1.2,149.08,normal,1
PRR,10,24.342,36.192,13.352,0.9708,0.08192,3,0.3,0.401,177.75,19,0.95,122.07,normal,2
PRM,10,23.731,35.581,19.154,0.9708,0.08192,4,0.4,0.4621,177.75,12,0.6,122.07,normal,2
Contextual Bandit RL,10,32.527,44.377,3.195,0.9708,0.08192,5,0.5,0.3882,177.75,22,1.1,122.07,normal,2
Proposed Hybrid,10,26.627,38.477,16.963,0.9708,0.08192,5,0.5,0.4654,177.75,18,0.9,122.07,normal,2
PRR,10,45.906,59.358,29.339,0.9817,0.07298,7,0.7,0.1737,201.78,21,1.05,137.03,normal,3
PRM,10,46.812,60.264,38.516,0.9817,0.07298,6,0.6,0.4167,201.78,10,0.5,137.03,normal,3
Contextual Bandit RL,10,66.02,79.472,2.154,0.9817,0.07298,9,0.9,0.4032,201.78,28,1.4,137.03,normal,3
Proposed Hybrid,10,37.951,51.403,28.132,0.9817,0.07298,7,0.7,0.2664,201.78,25,1.25,137.03,normal,3
PRR,10,34.344,47.58,32.452,0.9453,0.07142,6,0.6,0.4746,198.54,15,0.75,140.02,normal,4
PRM,10,42.417,55.653,38.016,0.9453,0.07142,6,0.6,0.2257,198.54,11,0.55,140.02,normal,4
Contextual Bandit RL,10,40.094,53.33,27.819,0.9453,0.07142,7,0.7,0.6354,198.54,23,1.15,140.02,normal,4
Proposed Hybrid,10,51.817,65.053,23.988,0.9453,0.07142,8,0.8,0.1397,198.54,27,1.35,140.02,normal,4
PRR,10,37.981,50.952,29.243,0.95,0.07324,8,0.8,0.3572,194.565,16,0.8,136.54,normal,5
PRM,10,30.815,43.786,27.103,0.95,0.07324,7,0.7,0.4578,194.565,13,0.65,136.54,normal,5
Contextual Bandit RL,10,55.844,68.815,14.672,0.95,0.07324,10,1.0,0.3163,194.565,26,1.3,136.54,normal,5
Proposed Hybrid,10,37.045,50.016,22.026,0.95,0.07324,8,0.8,0.2976,194.565,22,1.1,136.54,normal,5
PRR,10,208.741,253.814,155.349,0.9933,0.02204,9,0.9,0.1293,1126.825,42,2.1,453.78,cpu_heavy,1
PRM,10,182.168,227.241,123.434,0.9933,0.02204,8,0.8,0.122,1126.825,12,0.6,453.78,cpu_heavy,1
Contextual Bandit RL,10,276.037,321.11,49.986,0.9933,0.02204,9,0.9,0.3825,1126.825,93,4.65,453.78,cpu_heavy,1
Proposed Hybrid,10,278.542,323.615,71.854,0.9933,0.02204,9,0.9,0.3058,1126.825,89,4.45,453.78,cpu_heavy,1
PRR,10,159.269,197.536,123.901,0.9947,0.02599,8,0.8,0.2048,956.675,62,3.1,384.72,cpu_heavy,2
PRM,10,143.186,181.453,140.434,0.9947,0.02599,7,0.7,0.1241,956.675,10,0.5,384.72,cpu_heavy,2
Contextual Bandit RL,10,242.444,280.711,72.776,0.9947,0.02599,9,0.9,0.2213,956.675,76,3.8,384.72,cpu_heavy,2
Proposed Hybrid,10,186.383,224.65,71.295,0.9947,0.02599,8,0.8,0.261,956.675,65,3.25,384.72,cpu_heavy,2
PRR,10,185.059,227.595,128.698,0.9969,0.02344,9,0.9,0.1136,1063.4,59,2.95,426.7,cpu_heavy,3
PRM,10,189.419,231.955,163.299,0.9969,0.02344,7,0.7,0.1419,1063.4,10,0.5,426.7,cpu_heavy,3
Contextual Bandit RL,10,244.624,287.16,69.776,0.9969,0.02344,9,0.9,0.2754,1063.4,82,4.1,426.7,cpu_heavy,3
Proposed Hybrid,10,227.317,269.853,66.859,0.9969,0.02344,9,0.9,0.313,1063.4,80,4.0,426.7,cpu_heavy,3
PRR,10,176.469,218.43,158.261,0.9888,0.02356,8,0.8,0.568,1049.025,56,2.8,424.38,cpu_heavy,4
PRM,10,184.854,226.815,184.854,0.9888,0.02356,7,0.7,0.1149,1049.025,9,0.45,424.38,cpu_heavy,4
Contextual Bandit RL,10,212.439,254.4,99.395,0.9888,0.02356,7,0.7,0.3074,1049.025,66,3.3,424.38,cpu_heavy,4
Proposed Hybrid,10,234.443,276.404,46.17,0.9888,0.02356,8,0.8,0.3305,1049.025,75,3.75,424.38,cpu_heavy,4
PRR,10,177.452,218.708,141.378,0.9899,0.02399,8,0.8,0.1212,1031.4,43,2.15,416.78,cpu_heavy,5
PRM,10,156.697,197.953,147.073,0.9899,0.02399,8,0.8,0.1612,1031.4,10,0.5,416.78,cpu_heavy,5
Contextual Bandit RL,10,275.138,316.394,48.472,0.9899,0.02399,9,0.9,0.4502,1031.4,87,4.35,416.78,cpu_heavy,5
Proposed Hybrid,10,237.392,278.648,64.502,0.9899,0.02399,9,0.9,0.3176,1031.4,89,4.45,416.78,cpu_heavy,5
PRR,10,146.945,179.031,112.276,0.9843,0.03068,8,0.8,0.1792,641.72,24,1.2,325.98,bursty,1
PRM,10,115.742,147.828,88.418,0.9843,0.03068,7,0.7,0.1983,641.72,10,0.5,325.98,bursty,1
Contextual Bandit RL,10,191.191,223.277,22.36,0.9843,0.03068,9,0.9,0.3624,641.72,58,2.9,325.98,bursty,1
Proposed Hybrid,10,178.985,211.071,58.633,0.9843,0.03068,9,0.9,0.2727,641.72,64,3.2,325.98,bursty,1
PRR,10,61.639,85.559,40.958,0.9892,0.04135,4,0.4,0.3506,478.4,29,1.45,241.82,bursty,2
PRM,10,65.465,89.385,63.648,0.9892,0.04135,4,0.4,0.2846,478.4,11,0.55,241.82,bursty,2
Contextual Bandit RL,10,136.449,160.369,35.233,0.9892,0.04135,9,0.9,0.2159,478.4,42,2.1,241.82,bursty,2
Proposed Hybrid,10,66.441,90.361,27.329,0.9892,0.04135,6,0.6,0.4619,478.4,28,1.4,241.82,bursty,2
PRR,10,113.39,142.433,76.199,0.997,0.03433,9,0.9,0.1266,580.86,38,1.9,291.29,bursty,3
PRM,10,125.765,154.808,99.19,0.997,0.03433,7,0.7,0.2624,580.86,11,0.55,291.29,bursty,3
Contextual Bandit RL,10,157.289,186.332,25.594,0.997,0.03433,9,0.9,0.206,580.86,50,2.5,291.29,bursty,3
Proposed Hybrid,10,103.123,132.166,66.147,0.997,0.03433,8,0.8,0.5775,580.86,43,2.15,291.29,bursty,3
PRR,10,98.571,126.926,89.721,0.9678,0.03413,8,0.8,0.5951,567.1,32,1.6,292.98,bursty,4
PRM,10,115.353,143.708,115.353,0.9678,0.03413,7,0.7,0.1295,567.1,9,0.45,292.98,bursty,4
Contextual Bandit RL,10,162.531,190.886,40.244,0.9678,0.03413,8,0.8,0.225,567.1,63,3.15,292.98,bursty,4
Proposed Hybrid,10,129.527,157.882,43.297,0.9678,0.03413,8,0.8,0.1158,567.1,46,2.3,292.98,bursty,4
PRR,10,100.424,127.93,82.774,0.9716,0.03532,8,0.8,0.2534,550.12,23,1.15,283.11,bursty,5
PRM,10,78.989,106.495,74.04,0.9716,0.03532,7,0.7,0.2789,550.12,12,0.6,283.11,bursty,5
Contextual Bandit RL,10,111.086,138.592,24.755,0.9716,0.03532,8,0.8,0.3133,550.12,55,2.75,283.11,bursty,5
Proposed Hybrid,10,133.028,160.534,39.107,0.9716,0.03532,9,0.9,0.321,550.12,55,2.75,283.11,bursty,5
PRR,10,40.087,58.513,26.18,0.9626,0.05224,4,0.4,0.3685,331.668,22,1.1,191.41,mixed,1
PRM,10,43.76,62.186,43.76,0.9626,0.05224,6,0.6,0.3506,331.668,9,0.45,191.41,mixed,1
Contextual Bandit RL,10,37.606,56.032,20.382,0.9626,0.05224,5,0.5,0.2886,331.668,18,0.9,191.41,mixed,1
Proposed Hybrid,10,38.097,56.523,30.779,0.9626,0.05224,6,0.6,0.3518,331.668,14,0.7,191.41,mixed,1
PRR,10,37.348,51.738,35.517,0.9786,0.06801,6,0.6,0.2786,259.02,14,0.7,147.04,mixed,2
PRM,10,33.742,48.132,32.916,0.9786,0.06801,4,0.4,0.3338,259.02,11,0.55,147.04,mixed,2
Contextual Bandit RL,10,24.434,38.824,2.478,0.9786,0.06801,4,0.4,0.5685,259.02,19,0.95,147.04,mixed,2
Proposed Hybrid,10,25.407,39.797,21.345,0.9786,0.06801,5,0.5,0.2438,259.02,14,0.7,147.04,mixed,2
PRR,10,54.983,74.198,37.931,0.9947,0.05177,4,0.4,0.3228,345.87,14,0.7,193.18,mixed,3
PRM,10,46.236,65.451,29.723,0.9947,0.05177,5,0.5,0.3231,345.87,10,0.5,193.18,mixed,3
Contextual Bandit RL,10,47.988,67.203,29.176,0.9947,0.05177,5,0.5,0.3063,345.87,15,0.75,193.18,mixed,3
Proposed Hybrid,10,33.598,52.813,23.3,0.9947,0.05177,6,0.6,0.2572,345.87,16,0.8,193.18,mixed,3
